num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
20,CLI-33,2,1,4,6,152,"[4, 6]",0,0,68,[0],0.922
20,CLI-33,2,1,4,6,152,"[4, 6]",0,0,68,[0],0.921
20,CLI-254,4,1,2,19,152,"[19, 2, 8, 12]",5,5,68,[5],0.572
20,CLI-69,8,0,6,84,152,"[84, 23, 28, 26, 6, 8, 20, 17]",-1,-1,68,[],0
20,CLI-274,1,1,30,30,150,[30],12,12,68,[12],0.376
20,CLI-8,2,2,7,16,150,"[7, 16]",7,16,68,"[7, 16]",0.9165000000000001
20,CLI-265,2,1,17,56,150,"[17, 56]",8,8,68,[8],0.372
20,CLI-265,1,1,17,17,150,[17],8,8,68,[8],0.372
20,CLI-266,2,2,9,17,149,"[17, 9]",9,17,68,"[17, 9]",0.917
20,CLI-5,3,0,42,46,148,"[42, 46, 44]",-1,-1,68,[],0
20,CLI-252,1,1,17,17,148,[17],10,10,68,[10],0.664
20,CLI-241,1,1,38,38,147,[38],22,22,68,[22],0.358
20,CLI-224,1,1,22,22,147,[22],8,8,68,[8],0.436
20,CLI-224,4,3,14,92,147,"[22, 14, 92, 26]",1,37,68,"[8, 1, 37]",0.36400000000000005
20,CLI-230,2,2,10,23,147,"[23, 10]",4,14,68,"[14, 4]",0.526
20,CLI-224,1,1,22,22,147,[22],8,8,68,[8],0.436
20,CLI-224,4,3,14,92,147,"[22, 14, 92, 26]",1,37,68,"[8, 1, 37]",0.36400000000000005
20,CLI-220,1,1,9,9,146,[9],9,9,67,[9],0.837
20,CLI-5,9,9,0,20,146,"[9, 2, 5, 20, 14, 0, 4, 15, 16]",0,20,67,"[9, 2, 5, 20, 14, 0, 4, 15, 16]",0.9043333333333332
20,CLI-215,6,4,1,45,146,"[19, 43, 45, 29, 1, 12]",0,17,67,"[0, 15, 17, 7]",0.137
