project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Cli,0.8,0,0.9332151654052381,0.9332151654052381,0.0,193,0.2,0.9332151654052381,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.1,0.8821714102698017,0.8821714102698017,0.0,193,0.2,0.8821714102698017,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.2,0.8026287274675012,0.8026287274675012,0.0,193,0.2,0.8026287274675012,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.3,0.6935419468987482,0.6935419468987482,0.0,193,0.2,0.6935419468987482,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.4,0.5674956074416986,0.5674956074416986,0.0,193,0.2,0.5674956074416986,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.5,0.4477194135570475,0.4477194135570475,0.0,193,0.2,0.4477194135570475,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.6,0.35328139344383636,0.35328139344383636,0.0,193,0.2,0.35328139344383636,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.7,0.28919122575401884,0.28919122575401884,0.0,193,0.2,0.28919122575401884,0.0,0.0,0.0,0.0,32,1,1
Cli,0.8,0.8,0.25,0.25,3.0,193,0.2,0.25,75.0,75.0,0.75,75.0,32,1,1
Cli,0.8,0.9,0.2275424582387345,0.2275424582387345,3.0,193,0.2,0.2275424582387345,75.0,75.0,0.75,75.0,32,1,1
Cli,0.8,1,0.21515053105223508,0.21515053105223508,3.0,193,0.2,0.21515053105223508,75.0,75.0,0.75,75.0,32,1,1
Cli,0.9,0,0.9405197134026528,0.9405197134026528,0.0,193,0.2,0.9405197134026527,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.1,0.8944272562488187,0.8944272562488187,0.0,193,0.2,0.8944272562488187,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.2,0.8214839033908347,0.8214839033908347,0.0,193,0.2,0.8214839033908347,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.3,0.7191721157969712,0.7191721157969712,0.0,193,0.2,0.719172115796971,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.4,0.5975503212169333,0.5975503212169333,0.0,193,0.2,0.5975503212169333,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.5,0.4784479642993602,0.4784479642993602,0.0,193,0.2,0.4784479642993602,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.6,0.3820116535084937,0.3820116535084937,0.0,193,0.2,0.3820116535084937,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.7,0.315250096900984,0.315250096900984,0.0,193,0.2,0.315250096900984,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.8,0.27388812457525796,0.27388812457525796,0.0,193,0.2,0.27388812457525796,0.0,0.0,0.0,0.0,32,1,1
Cli,0.9,0.9,0.25,0.25,3.0,193,0.2,0.25,75.0,75.0,0.75,75.0,32,1,1
Cli,0.9,1,0.23675990118901774,0.23675990118901774,3.0,193,0.2,0.23675990118901774,75.0,75.0,0.75,75.0,32,1,1
Cli,1,0,0.9444175816415885,0.9444175816415885,0.0,193,0.2,0.9444175816415885,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.1,0.9010278049580559,0.9010278049580559,0.0,193,0.2,0.9010278049580559,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.2,0.8317872829024016,0.8317872829024016,0.0,193,0.2,0.8317872829024017,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.3,0.7334646571731204,0.7334646571731204,0.0,193,0.2,0.7334646571731204,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.4,0.6147166164047563,0.6147166164047563,0.0,193,0.2,0.6147166164047563,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.5,0.49641311781377695,0.49641311781377695,0.0,193,0.2,0.49641311781377695,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.6,0.39912682443976716,0.39912682443976716,0.0,193,0.2,0.39912682443976716,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.7,0.3309761112252998,0.3309761112252998,0.0,193,0.2,0.3309761112252998,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.8,0.2884199043140843,0.2884199043140843,0.0,193,0.2,0.2884199043140843,0.0,0.0,0.0,0.0,32,1,1
Cli,1,0.9,0.26372467495098123,0.26372467495098123,0.0,193,0.2,0.26372467495098123,0.0,0.0,0.0,0.0,32,1,1
Cli,1,1,0.25,0.25,3.0,193,0.2,0.25,75.0,75.0,0.75,75.0,32,1,1
Cli,0.8,0,0.5341124236690101,0.5341124236690101,0.0,33,0.2,0.5341124236690101,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.1,0.3751979180784787,0.3751979180784787,0.0,33,0.2,0.3751979180784787,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.2,0.24624442112323072,0.24624442112323072,0.0,33,0.2,0.24624442112323072,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.3,0.15418557553747453,0.15418557553747453,0.0,33,0.2,0.15418557553747453,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.4,0.09594612495343749,0.09594612495343749,0.0,33,0.2,0.09594612495343749,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.5,0.06185912437432479,0.06185912437432479,0.0,33,0.2,0.06185912437432479,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.6,0.04280140568472627,0.04280140568472627,0.0,33,0.2,0.04280140568472627,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.7,0.03241543633000531,0.03241543633000531,0.0,33,0.2,0.03241543633000531,0.0,0.0,0.0,0.0,5,1,1
Cli,0.8,0.8,0.0,0.0,5,33,0.2,0,100,100,1.0,100,5,1,1
Cli,0.8,0.9,0.0,0.0,5,33,0.2,0,100,100,1.0,100,5,1,1
Cli,0.8,1,0.0,0.0,5,33,0.2,0,100,100,1.0,100,5,1,1
Cli,0.9,0,0.5647075546474841,0.5647075546474841,0.0,33,0.2,0.5647075546474841,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.1,0.4045954632436529,0.4045954632436529,0.0,33,0.2,0.404595463243653,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.2,0.2699028320419043,0.2699028320419043,0.0,33,0.2,0.2699028320419043,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.3,0.1710058743302562,0.1710058743302562,0.0,33,0.2,0.1710058743302562,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.4,0.10721838974796927,0.10721838974796927,0.0,33,0.2,0.10721838974796927,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.5,0.0694342413422244,0.0694342413422244,0.0,33,0.2,0.0694342413422244,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.6,0.048162572455623706,0.048162572455623706,0.0,33,0.2,0.048162572455623706,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.7,0.036525330886638105,0.036525330886638105,0.0,33,0.2,0.036525330886638105,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.8,0.03025943626198326,0.03025943626198326,0.0,33,0.2,0.03025943626198326,0.0,0.0,0.0,0.0,5,1,1
Cli,0.9,0.9,0.0,0.0,5,33,0.2,0,100,100,1.0,100,5,1,1
Cli,0.9,1,0.0,0.0,5,33,0.2,0,100,100,1.0,100,5,1,1
Cli,1,0,0.5822954788998853,0.5822954788998853,0.0,33,0.2,0.5822954788998853,0.0,0.0,0.0,0.0,5,1,1
Cli,1,0.1,0.422031469411366,0.422031469411366,0.0,33,0.2,0.422031469411366,0.0,0.0,0.0,0.0,5,1,1
Cli,1,0.2,0.28430595466771263,0.28430595466771263,0.0,33,0.2,0.28430595466771263,0.0,0.0,0.0,0.0,5,1,1
Cli,1,0.3,0.18144302031955173,0.18144302031955173,0.0,33,0.2,0.1814430203195517,0.0,0.0,0.0,0.0,5,1,1
