method,project,MAP,MRR,TOP-K,average similarity
20_Topics,Codec,0.09975052364381849,0.3031127173035366,0.38189561214158607,0.5047572235959027
40_Topics,Codec,0.11348435519152249,0.33153757314649523,0.35484048226867754,0.42648393382785854
60_Topics,Codec,0.14771517681974058,0.41382209952837373,0.3265747533495537,0.38056272960084764
80_Topics,Codec,0.14357035205298957,0.43251502176249573,0.33684898606726743,0.36890615408768
100_Topics,Codec,0.14186025283020323,0.4070069096315,0.3164817837851687,0.389220158267593
120_Topics,Codec,0.130897708632673,0.3785901803488067,0.31186943271516754,0.3047398911848976
140_Topics,Codec,0.1330409647761227,0.38686474040409163,0.3305341948582853,0.3059893642803878
160_Topics,Codec,0.1396072035349667,0.40151861051925125,0.3537601747403051,0.25500050875230584
180_Topics,Codec,0.13436801306420929,0.36292680414871414,0.31296508421425884,0.25879856941010243
200_Topics,Codec,0.1429793688541348,0.40132838341256105,0.30694653634563906,0.27871327563876147
220_Topics,Codec,0.13034836210270806,0.3728647087613285,0.3304915013360007,0.2563020085168178
240_Topics,Codec,0.12996540405875812,0.38326937563518865,0.32708973674505304,0.2951025898779387
260_Topics,Codec,0.14623561052419826,0.4066863929397222,0.3054663042300888,0.31526038845716087
280_Topics,Codec,0.13994795487976056,0.39669545123619065,0.33270320150107424,0.30194380960791234
300_Topics,Codec,0.15751473515629238,0.4595241515140466,0.3051725585513343,0.29878474724282733
320_Topics,Codec,0.15188064588833247,0.4429104109372204,0.3301627034925067,0.29726334677577637
340_Topics,Codec,0.1477368410850732,0.43499423192342007,0.30384778997279915,0.26371415381294416
360_Topics,Codec,0.14614520342743043,0.4356321785121202,0.3428403017379192,0.2518341442953021
380_Topics,Codec,0.16034325585405657,0.4827948815299027,0.357076250175388,0.2614264217590957
400_Topics,Codec,0.14756905894373842,0.4389011305972667,0.3227478078927463,0.2538876324620276
420_Topics,Codec,0.15537527651276126,0.4441993812835955,0.3091225235705132,0.27764021694336505
440_Topics,Codec,0.1671319034024988,0.4763994550177561,0.340199816488685,0.29057564464853414
460_Topics,Codec,0.15476115215208483,0.4568284400504534,0.2978928094727977,0.24408393628085864
480_Topics,Codec,0.15838569138281203,0.45934867337444346,0.3347765007722523,0.2579176238274656
500_Topics,Codec,0.13093098503768447,0.3809643109394027,0.340145941397388,0.20769608648298596
520_Topics,Codec,0.16672879289589718,0.48222347715059743,0.3316925582027207,0.2529457950665255
540_Topics,Codec,0.15259254232955993,0.4394622701046718,0.3571192141020558,0.24248780711566392
560_Topics,Codec,0.1386251395769306,0.38146884715634705,0.3214803725056713,0.23657294781977295
580_Topics,Codec,0.15299739417109817,0.45258981899453266,0.315383178226714,0.27241795449193457
600_Topics,Codec,0.15212566096155372,0.44746131094040575,0.32264256325909874,0.23170920267671422
