project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Codec,original,0.9991258110949589,0.49956290554747945,0.5,264,1,0.6660838740633059,12.5,12.5,0.125,0.0,8,1,4
Codec,original,0.0,0.0,5,254,1,0,100,100,1.0,100,32,1,1
Codec,original,0.14285714285714285,0.14285714285714285,0.0,199,1,0.14285714285714285,0.0,0.0,0.0,0.0,61,1,1
Codec,original,0.0,0.0,5,270,1,0,100,100,1.0,100,21,2,6
Codec,original,8.099999993439005e-10,8.099999993439005e-10,1.0,231,1,8.099999993439005e-10,50.0,50.0,0.5,50.0,46,1,1
Codec,original,0.0,0.0,5,134,1,0,100,100,1.0,100,33,3,5
Codec,original,0.045454545454545456,0.045454545454545456,1.0,259,1,0.045454545454545456,16.666666666666664,16.666666666666664,0.16666666666666663,16.666666666666664,17,1,1
Codec,original,8.100000000000032e-74,8.100000000000032e-74,2.0,265,1,8.100000000000032e-74,40.0,40.0,0.4,40.0,20,1,5
Codec,original,1.0,1.0,0.0,229,1,1.0,0.0,0.0,0.0,0.0,48,1,5
Codec,original,0.0,0.0,5,255,1,0,100,100,1.0,100,31,1,3
Codec,original,0.0,0.0,5,259,1,0,100,100,1.0,100,16,1,1
Codec,original,0.0,0.0,5,250,1,0,100,100,1.0,100,37,1,1
Codec,original,0.25,0.25,1.0,184,1,0.25,25.0,25.0,0.25,25.0,74,2,3
Codec,original,8.999991900007312e-48,8.999991900007312e-48,4.0,96,1,8.999991900007312e-48,80.0,80.0,0.8,80.0,93,5,26
