project,method,method topics,method topics values,metric,metric regular topics,regular topics values,Kendall Tau value,RBO,diff between first method and regular first,diff between first method and regular second,diff between first method and regular third,diff between second method and regular first,diff between third method and regular first,diff between forth method and regular first,diff between fifth method and regular first
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[0.243, 0.251, 0.27, 0.323, 0.214, 0.279, 0.26, 0.276, 0.248, 0.281, 0.261, 0.284, 0.259, 0.239, 0.275, 0.276, 0.258, 0.306, 0.291, 0.234, 0.26, 0.292, 0.274, 0.293, 0.269, 0.271, 0.283, 0.287, 0.277, 0.252]",precision,"['220', '360', '580', '420', '400', '440', '160', '300', '280', '500', '520', '80', '240', '60', '600', '480', '180', '460', '200', '560', '320', '260', '340', '380', '40', '140', '20', '100', '540', '120']","[0.323, 0.306, 0.293, 0.292, 0.291, 0.287, 0.284, 0.283, 0.281, 0.279, 0.277, 0.276, 0.276, 0.275, 0.274, 0.271, 0.27, 0.269, 0.261, 0.26, 0.26, 0.259, 0.258, 0.252, 0.251, 0.248, 0.243, 0.239, 0.234, 0.214]",-0.08505747126436781,0.26775272305936243,0.08000000000000002,0.063,0.04999999999999999,0.07200000000000001,0.05299999999999999,0.0,0.10900000000000001
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[0.227, 0.235, 0.252, 0.303, 0.199, 0.26, 0.242, 0.259, 0.231, 0.263, 0.241, 0.266, 0.24, 0.222, 0.26, 0.261, 0.239, 0.288, 0.275, 0.216, 0.242, 0.275, 0.256, 0.274, 0.253, 0.254, 0.265, 0.268, 0.258, 0.235]",recall,"['220', '360', '420', '400', '580', '440', '160', '300', '280', '80', '500', '60', '240', '520', '600', '480', '460', '180', '320', '560', '200', '260', '340', '380', '40', '140', '20', '100', '540', '120']","[0.303, 0.288, 0.275, 0.275, 0.274, 0.268, 0.266, 0.265, 0.263, 0.261, 0.26, 0.26, 0.259, 0.258, 0.256, 0.254, 0.253, 0.252, 0.242, 0.242, 0.241, 0.24, 0.239, 0.235, 0.235, 0.231, 0.227, 0.222, 0.216, 0.199]",-0.07126436781609195,0.2613231086700097,0.07599999999999998,0.06099999999999997,0.048000000000000015,0.068,0.05099999999999999,0.0,0.10399999999999998
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[1.821, 1.893, 1.893, 1.071, 1.964, 1.5, 1.571, 1.607, 1.393, 1.25, 1.429, 1.357, 1.714, 1.75, 1.571, 1.536, 1.571, 1.179, 1.393, 1.571, 1.393, 1.464, 1.536, 1.571, 1.643, 1.643, 1.464, 1.786, 1.571, 1.607]",wasted,"['220', '360', '280', '160', '140', '320', '400', '200', '300', '420', '500', '80', '600', '540', '60', '340', '520', '560', '580', '240', '380', '460', '480', '260', '100', '440', '20', '180', '40', '120']","[1.071, 1.179, 1.25, 1.357, 1.393, 1.393, 1.393, 1.429, 1.464, 1.464, 1.5, 1.536, 1.536, 1.571, 1.571, 1.571, 1.571, 1.571, 1.571, 1.607, 1.607, 1.643, 1.643, 1.714, 1.75, 1.786, 1.821, 1.893, 1.893, 1.964]",0.016091954022988506,0.2983330114301205,-0.75,-0.6419999999999999,-0.571,-0.8220000000000001,-0.8220000000000001,0.0,-0.893
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[0.233, 0.241, 0.258, 0.31, 0.204, 0.266, 0.248, 0.265, 0.237, 0.269, 0.248, 0.272, 0.247, 0.228, 0.265, 0.266, 0.245, 0.294, 0.28, 0.222, 0.248, 0.281, 0.262, 0.281, 0.258, 0.26, 0.271, 0.274, 0.264, 0.241]",f-score,"['220', '360', '420', '580', '400', '440', '160', '300', '280', '500', '80', '60', '240', '520', '600', '480', '460', '180', '320', '560', '200', '260', '340', '380', '40', '140', '20', '100', '540', '120']","[0.31, 0.294, 0.281, 0.281, 0.28, 0.274, 0.272, 0.271, 0.269, 0.266, 0.266, 0.265, 0.265, 0.264, 0.262, 0.26, 0.258, 0.258, 0.248, 0.248, 0.248, 0.247, 0.245, 0.241, 0.241, 0.237, 0.233, 0.228, 0.222, 0.204]",-0.06206896551724138,0.2651973135600097,0.07699999999999999,0.06099999999999997,0.048000000000000015,0.069,0.05199999999999999,0.0,0.10600000000000001
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[39.821, 41.607, 41.607, 24.286, 42.679, 33.571, 34.643, 35.179, 31.607, 28.393, 31.786, 29.643, 37.857, 38.75, 35.0, 34.107, 35.0, 26.964, 31.607, 35.0, 31.488, 32.679, 33.393, 35.0, 36.786, 36.429, 32.321, 38.929, 34.643, 35.536]",expense,"['220', '360', '280', '160', '320', '140', '400', '200', '300', '420', '600', '500', '80', '520', '560', '580', '60', '340', '540', '240', '380', '480', '460', '260', '100', '440', '20', '40', '180', '120']","[24.286, 26.964, 28.393, 29.643, 31.488, 31.607, 31.607, 31.786, 32.321, 32.679, 33.393, 33.571, 34.107, 34.643, 34.643, 35.0, 35.0, 35.0, 35.0, 35.179, 35.536, 36.429, 36.786, 37.857, 38.75, 38.929, 39.821, 41.607, 41.607, 42.679]",0.006896551724137931,0.2951632074292115,-15.534999999999997,-12.857,-11.427999999999997,-17.320999999999998,-17.320999999999998,0.0,-18.393
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[39.821, 41.607, 41.607, 24.286, 42.679, 33.571, 34.643, 35.179, 31.607, 28.393, 31.786, 29.643, 37.857, 38.75, 35.0, 34.107, 35.0, 26.964, 31.607, 35.0, 31.488, 32.679, 33.393, 35.0, 36.786, 36.429, 32.321, 38.929, 34.643, 35.536]",t-score,"['220', '360', '280', '160', '320', '140', '400', '200', '300', '420', '600', '500', '80', '520', '560', '580', '60', '340', '540', '240', '380', '480', '460', '260', '100', '440', '20', '40', '180', '120']","[24.286, 26.964, 28.393, 29.643, 31.488, 31.607, 31.607, 31.786, 32.321, 32.679, 33.393, 33.571, 34.107, 34.643, 34.643, 35.0, 35.0, 35.0, 35.0, 35.179, 35.536, 36.429, 36.786, 37.857, 38.75, 38.929, 39.821, 41.607, 41.607, 42.679]",0.006896551724137931,0.2951632074292115,-15.534999999999997,-12.857,-11.427999999999997,-17.320999999999998,-17.320999999999998,0.0,-18.393
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[0.398, 0.416, 0.416, 0.243, 0.427, 0.336, 0.346, 0.352, 0.316, 0.284, 0.318, 0.296, 0.379, 0.388, 0.35, 0.341, 0.35, 0.27, 0.316, 0.35, 0.315, 0.327, 0.334, 0.35, 0.368, 0.364, 0.323, 0.389, 0.346, 0.355]",cost,"['220', '360', '280', '160', '320', '140', '400', '200', '300', '420', '600', '500', '80', '560', '520', '60', '340', '540', '580', '240', '380', '480', '460', '260', '100', '440', '20', '40', '180', '120']","[0.243, 0.27, 0.284, 0.296, 0.315, 0.316, 0.316, 0.318, 0.323, 0.327, 0.334, 0.336, 0.341, 0.346, 0.346, 0.35, 0.35, 0.35, 0.35, 0.352, 0.355, 0.364, 0.368, 0.379, 0.388, 0.389, 0.398, 0.416, 0.416, 0.427]",0.006896551724137931,0.2993556573294046,-0.15500000000000003,-0.128,-0.11400000000000005,-0.173,-0.173,0.0,-0.184
Codec,MRR,"['20', '40', '180', '220', '120', '500', '560', '240', '140', '280', '200', '160', '260', '100', '60', '80', '340', '360', '400', '540', '320', '420', '600', '580', '460', '480', '300', '440', '520', '380']","[38.929, 40.714, 38.929, 22.5, 40.0, 31.786, 32.857, 32.5, 30.714, 25.714, 30.0, 27.857, 36.071, 36.071, 33.214, 31.429, 33.214, 24.286, 28.929, 33.214, 28.81, 30.0, 32.5, 33.214, 35.0, 34.643, 29.643, 37.143, 32.857, 32.857]",exam-score,"['220', '360', '280', '160', '320', '400', '300', '200', '420', '140', '80', '500', '240', '600', '380', '520', '560', '60', '340', '540', '580', '480', '460', '100', '260', '440', '180', '20', '120', '40']","[22.5, 24.286, 25.714, 27.857, 28.81, 28.929, 29.643, 30.0, 30.0, 30.714, 31.429, 31.786, 32.5, 32.5, 32.857, 32.857, 32.857, 33.214, 33.214, 33.214, 33.214, 34.643, 35.0, 36.071, 36.071, 37.143, 38.929, 38.929, 40.0, 40.714]",-0.04827586206896552,0.29515836353874664,-16.429000000000002,-14.643,-13.215000000000003,-18.214,-16.429000000000002,0.0,-17.5
Codec,average similarity,"['20', '40', '100', '60', '80', '260', '140', '120', '280', '300', '320', '240', '440', '200', '420', '580', '340', '380', '180', '480', '220', '160', '400', '520', '360', '460', '540', '560', '600', '500']","[0.243, 0.251, 0.239, 0.275, 0.276, 0.259, 0.248, 0.214, 0.281, 0.283, 0.26, 0.276, 0.287, 0.261, 0.292, 0.293, 0.258, 0.252, 0.27, 0.271, 0.323, 0.284, 0.291, 0.277, 0.306, 0.269, 0.234, 0.26, 0.274, 0.279]",precision,"['220', '360', '580', '420', '400', '440', '160', '300', '280', '500', '520', '80', '240', '60', '600', '480', '180', '460', '200', '560', '320', '260', '340', '380', '40', '140', '20', '100', '540', '120']","[0.323, 0.306, 0.293, 0.292, 0.291, 0.287, 0.284, 0.283, 0.281, 0.279, 0.277, 0.276, 0.276, 0.275, 0.274, 0.271, 0.27, 0.269, 0.261, 0.26, 0.26, 0.259, 0.258, 0.252, 0.251, 0.248, 0.243, 0.239, 0.234, 0.214]",-0.006896551724137931,0.20653451960667807,0.08000000000000002,0.063,0.04999999999999999,0.07200000000000001,0.08400000000000002,0.04799999999999999,0.046999999999999986
Codec,average similarity,"['20', '40', '100', '60', '80', '260', '140', '120', '280', '300', '320', '240', '440', '200', '420', '580', '340', '380', '180', '480', '220', '160', '400', '520', '360', '460', '540', '560', '600', '500']","[0.227, 0.235, 0.222, 0.26, 0.261, 0.24, 0.231, 0.199, 0.263, 0.265, 0.242, 0.259, 0.268, 0.241, 0.275, 0.274, 0.239, 0.235, 0.252, 0.254, 0.303, 0.266, 0.275, 0.258, 0.288, 0.253, 0.216, 0.242, 0.256, 0.26]",recall,"['220', '360', '420', '400', '580', '440', '160', '300', '280', '80', '500', '60', '240', '520', '600', '480', '460', '180', '320', '560', '200', '260', '340', '380', '40', '140', '20', '100', '540', '120']","[0.303, 0.288, 0.275, 0.275, 0.274, 0.268, 0.266, 0.265, 0.263, 0.261, 0.26, 0.26, 0.259, 0.258, 0.256, 0.254, 0.253, 0.252, 0.242, 0.242, 0.241, 0.24, 0.239, 0.235, 0.235, 0.231, 0.227, 0.222, 0.216, 0.199]",0.043678160919540236,0.2183661516943448,0.07599999999999998,0.06099999999999997,0.048000000000000015,0.068,0.08099999999999999,0.04299999999999998,0.04199999999999998
