bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,b22276db7282efa0794e2cca02a32006c0bca0dd,7ccbc3d0c39aaf49ff70f19d85f173f98550d0fb,TEMP-305,https://issues.apache.org/jira/browse
2,03ae658e5449d7a3b6c9fa2ee38e712b41d85123,2b32ca08e1097c92d3ee2a1501c43fd8f2b4130d,TEMP-5,https://issues.apache.org/jira/browse
3,80fffec4ee9d44a18a4742d53971ed054b1346e6,27c6dde7bd54169f41ada76e6709bcc9e0e5bf8f,TEMP-108,https://issues.apache.org/jira/browse
4,0cf3f1169a635c59e27e18598269ccb6ece395a8,5a03f5a493240f26f27ccabe6b8ac7b701c2d5c5,TEMP-5,https://issues.apache.org/jira/browse
5,ea6058c3e3f1b4d2e4b0df87f5237feb277054be,738b50de4d72083a93b8ff57c83b112f5ecd882f,TEMP-101,https://issues.apache.org/jira/browse
6,53c93d0ffccb65d182306c74d1230ce814889dc1,fab180b25ed319261de0024cd1a736af284d039c,TEMP-1,https://issues.apache.org/jira/browse
7,a6b2f1329beec2cd9abb86dc2ea80300e9ccb77b,9f1b740a17f0d54366edfb45df0636b8e302666a,TEMP-1,https://issues.apache.org/jira/browse
8,24059898ceb92d790f21f680730023b4ce3ab937,f5a61f0cd029f18666163f414f848ba0e1b39976,TEMP-264,https://issues.apache.org/jira/browse
9,33491ff84299cc1a48031fba066e6e69f21e1861,bc82d82d2a70200f5c7a084908f3587fbe8cc204,TEMP-4,https://issues.apache.org/jira/browse
10,95bc7e1345ead598bbdb757785c0c11077a315f5,e91852735aae750523ab6e425c3b31e9653d6934,TEMP-34,https://issues.apache.org/jira/browse
11,b436b6d95473b468c66d7814db086a4d8a83b154,01b69110b181aa30406d18f1a689d07780c3b4a8,TEMP-9,https://issues.apache.org/jira/browse
12,e772d31a5d0db091bdb68d12b3c2fe79ba979bda,b436b6d95473b468c66d7814db086a4d8a83b154,TEMP-6,https://issues.apache.org/jira/browse
13,6cf348211a23835128465a22c9148138fb99c060,d7a4a0290ecaf06be09c1a0c9c35c0a38994c63d,TEMP-261,https://issues.apache.org/jira/browse
14,965ac73d8167974524a7ebf24381f28a1567ba43,6cf348211a23835128465a22c9148138fb99c060,TEMP-259,https://issues.apache.org/jira/browse
15,2311c5e58e6922825d7ecb53ef596b7a8c156bf1,a9e682daaa528ff66465de557cb70c107a196302,TEMP-259,https://issues.apache.org/jira/browse
16,a84f53d38f93504036fed5cf3fd42f57a8637b16,2311c5e58e6922825d7ecb53ef596b7a8c156bf1,TEMP-259,https://issues.apache.org/jira/browse
17,a3a4eddd3e6180385ca38efd9ff4965c07995e64,a84f53d38f93504036fed5cf3fd42f57a8637b16,TEMP-259,https://issues.apache.org/jira/browse
18,3ab9ce4b76848afd2da7dca3e37c46259dd70866,625cedf140f383f3f5c4f992906a4bb6b809dfd7,TEMP-31,https://issues.apache.org/jira/browse
19,2ee118ddabc071a84298944881854db41c85e528,9a84b3a53b37204c6ae9549ba41037c60f15479b,TEMP-265,https://issues.apache.org/jira/browse
20,9bd2cda3bcf4cc55ed1396c9c3c6415328c7b32e,0956493bcb3fe40ca37d66768ec7817f8a1f410b,TEMP-265,https://issues.apache.org/jira/browse
21,7b1961506509391ec847bb1dc3783a87f8069057,52396f8136b0328b17afd715b1c3f5a1f7e94608,TEMP-270,https://issues.apache.org/jira/browse
22,1b9889762a86ae50657d5ce0048cbf9c5f62ffa7,7b1961506509391ec847bb1dc3783a87f8069057,TEMP-270,https://issues.apache.org/jira/browse
23,03e54974626c4abc6004eeecb5db600222389eb9,31e094ab90d238cfbd98b9ed8c715d997f58123a,TEMP-32,https://issues.apache.org/jira/browse
24,a1fb8486705ff6cea89b0670036c0574d407c339,03e54974626c4abc6004eeecb5db600222389eb9,TEMP-1,https://issues.apache.org/jira/browse
25,1645ab953ce98bffaff2424cd0b3d2501e21b04f,82b108f3df4b8db2a2ce56afce19a2b0a97c5539,TEMP-264,https://issues.apache.org/jira/browse
26,1490fbf959fc0e7bc5d8be43250689ebf625942d,1645ab953ce98bffaff2424cd0b3d2501e21b04f,TEMP-267,https://issues.apache.org/jira/browse
27,2d744c87c2c498510f84b5a91dc14ec703d7b022,1490fbf959fc0e7bc5d8be43250689ebf625942d,TEMP-269,https://issues.apache.org/jira/browse
28,b5ce7fae5bb6794d41216756f080a087cb956e90,2d744c87c2c498510f84b5a91dc14ec703d7b022,TEMP-15,https://issues.apache.org/jira/browse
29,f0e122da19684394123c85577405d6dc7cddbb98,40be3f770c8a1e87342d14a6b730b7d99fef8e71,TEMP-4,https://issues.apache.org/jira/browse
30,d2f2830524d59fd62049629097f8a27a0d51aa24,eaf9ae1465d4d8298601c7f605bfca5e28e602d3,TEMP-10,https://issues.apache.org/jira/browse
31,128c93c26e963dafe1165e593d4351402a0206d3,79722429dad5256ac0d3871d4ef2977b4e7a383d,TEMP-255,https://issues.apache.org/jira/browse
32,16a0eeac59ab35bf49a7de70eb4dc70b0c61752d,4f8662a758688b845d741a932e28cc8d4fc11b96,TEMP-254,https://issues.apache.org/jira/browse
33,0bf5b8a05a535895916a57817b226aec0e05ba13,48b615756d1d770091ea3322eefc08011ee8b113,TEMP-134,https://issues.apache.org/jira/browse
34,dd5e46203e5b12f4b65e76ef2e5c34197692b5b4,7b2ab4a2659b987b823c7cb0a163c766557da802,TEMP-7,https://issues.apache.org/jira/browse
35,c2b70e8e34a7c8ebd4c60e287c73f1e95526b2f5,c74ed13a8b14421a5eb1bdc83430d413545682dd,TEMP-1,https://issues.apache.org/jira/browse
36,dd038c528b9b6794580c6f9a81c90302aa8c1405,163d643d1176e0dc9334ee83e21b9ce21d24fc1a,TEMP-11,https://issues.apache.org/jira/browse
37,0b2a0c932d089de9f19e2ea9b278c5d09a239099,36fccb4325f924bf46babd4d8d60226f8dd3f154,TEMP-250,https://issues.apache.org/jira/browse
38,ef6e2a1ee0910ef47765feb73e4fedbd996896f9,fc4ce44a1021192bc3d818038cbeb1d3e65938f3,TEMP-9,https://issues.apache.org/jira/browse
39,588602694fa1d19e433f9e2705aed9ccb0b404ba,8bc1d8d383f7cf4d829eca6112830f201246685d,TEMP-12,https://issues.apache.org/jira/browse
40,2eabe0ca39e77503cd29e48bf0856410c5ef4762,5e6b2cedbb6137c556f66db09285aa2cffd3cf0a,TEMP-1,https://issues.apache.org/jira/browse
41,dbbb4035cdb8669f42b42ab2a76460f4da8450c7,8765c05ded1a3ed31bb3da780203e84c3e6c7203,TEMP-9,https://issues.apache.org/jira/browse
42,8bb11519522dbe0192d6538a29b3356b25f5927d,29a7e67999568a5c86b32ef513a90d5d090ad2b2,TEMP-199,https://issues.apache.org/jira/browse
