method,project,MAP,MRR,TOP-K,average similarity
BugLocator,Collections,0.026708883,0.099696172,0.534652812,0.139448877
20_Topics,Collections,0.075260008,0.243734084,0.15813504,0.614716156
40_Topics,Collections,0.063555437,0.206084595,0.155699216,0.512124688
60_Topics,Collections,0.087970423,0.272878173,0.12446871,0.430411794
80_Topics,Collections,0.116833881,0.365584924,0.13464857,0.464334096
100_Topics,Collections,0.087139632,0.276348386,0.141170661,0.393799271
120_Topics,Collections,0.101496612,0.325248581,0.127402019,0.39987405
140_Topics,Collections,0.104908523,0.334258639,0.158995744,0.406154449
160_Topics,Collections,0.083322886,0.274679509,0.171330283,0.349328396
180_Topics,Collections,0.092828945,0.299641035,0.143054118,0.36089311
200_Topics,Collections,0.093608397,0.298627033,0.149931367,0.358548186
220_Topics,Collections,0.120670689,0.383426776,0.127240355,0.332730563
240_Topics,Collections,0.103970083,0.322375524,0.158544027,0.337646178
260_Topics,Collections,0.104854508,0.333590273,0.149367661,0.346319632
280_Topics,Collections,0.088483289,0.29271317,0.141960545,0.349600905
300_Topics,Collections,0.105374688,0.333891631,0.153679815,0.355417933
320_Topics,Collections,0.130671181,0.410936407,0.141311941,0.373293735
340_Topics,Collections,0.116232952,0.357444203,0.148363441,0.344390816
360_Topics,Collections,0.086695035,0.274234182,0.154439215,0.321792965
380_Topics,Collections,0.089908344,0.284655745,0.143867831,0.335764258
400_Topics,Collections,0.103775155,0.331504257,0.151428258,0.279869517
420_Topics,Collections,0.101385502,0.334424803,0.156569584,0.325797346
440_Topics,Collections,0.117154869,0.373692195,0.136414095,0.377168595
460_Topics,Collections,0.099795428,0.316802872,0.142556521,0.345571774
480_Topics,Collections,0.105718939,0.334543972,0.158242568,0.29268433
500_Topics,Collections,0.111748254,0.357385462,0.150442054,0.354902392
520_Topics,Collections,0.109136243,0.346959573,0.13088409,0.32668937
540_Topics,Collections,0.120747344,0.379699572,0.139222122,0.355868946
560_Topics,Collections,0.106067155,0.328180017,0.154690398,0.317870235
580_Topics,Collections,0.105887492,0.325811145,0.153437693,0.32186988
600_Topics,Collections,0.110378643,0.355366592,0.154341014,0.34847086
BRTracer,Collections,0.025679891,0.094451639,0.513435624,0.12919259
