num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
20,COLLECTIONS-691,1,1,10,10,456,[10],10,10,356,[10],0.972
20,COLLECTIONS-689,2,1,0,155,456,"[0, 155]",0,0,356,[0],0.945
20,COLLECTIONS-59,2,1,10,279,456,"[10, 279]",10,10,356,[10],0.532
20,COLLECTIONS-685,1,1,21,21,455,[21],19,19,356,[19],0.632
20,COLLECTIONS-675,1,0,7,7,455,[7],-1,-1,356,[],0
20,COLLECTIONS-646,2,2,56,207,455,"[207, 56]",41,164,356,"[164, 41]",0.166
20,COLLECTIONS-663,1,1,9,9,455,[9],9,9,356,[9],0.867
20,COLLECTIONS-614,2,2,33,40,455,"[33, 40]",30,37,356,"[30, 37]",0.4805
20,COLLECTIONS-614,2,2,33,40,455,"[33, 40]",30,37,356,"[30, 37]",0.575
20,COLLECTIONS-643,1,1,23,23,455,[23],21,21,356,[21],0.316
20,COLLECTIONS-641,2,1,0,9,455,"[0, 9]",0,0,356,[0],0.886
20,COLLECTIONS-639,2,1,121,391,455,"[121, 391]",90,90,356,[90],0.243
20,COLLECTIONS-636,1,0,434,434,455,[434],-1,-1,356,[],0
20,COLLECTIONS-631,2,1,5,174,454,"[5, 174]",5,5,355,[5],0.89
20,COLLECTIONS-584,1,1,0,0,454,[0],0,0,355,[0],0.932
20,COLLECTIONS-584,1,1,0,0,454,[0],0,0,355,[0],0.932
20,COLLECTIONS-584,2,2,0,177,454,"[177, 0]",0,155,355,"[155, 0]",0.518
20,COLLECTIONS-624,1,1,4,4,454,[4],4,4,355,[4],0.725
20,COLLECTIONS-584,1,1,0,0,454,[0],0,0,355,[0],0.932
20,COLLECTIONS-624,2,1,4,7,454,"[4, 7]",4,4,355,[4],0.724
20,COLLECTIONS-618,1,1,51,51,454,[51],47,47,355,[47],0.837
20,COLLECTIONS-414,1,1,54,54,453,[54],48,48,354,[48],0.437
20,COLLECTIONS-477,1,1,13,13,453,[13],13,13,354,[13],0.785
20,COLLECTIONS-596,1,1,10,10,453,[10],10,10,354,[10],0.353
