project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Collections,original,6.08E-56,6.08E-56,2,444,1,6.08E-56,40,40,0.4,40,135,1,1
Collections,original,0,0,5,566,1,0,100,100,1,100,70,1,3
Collections,original,0,0,5,631,1,0,100,100,1,100,33,1,1
Collections,original,0.999878515,0.999878515,0,551,1,0.999878515,0,0,0,0,78,1,1
Collections,original,0,0,5,339,1,0,100,100,1,100,194,1,2
Collections,original,0,0,7,483,1,0,100,100,1,100,121,1,3
Collections,original,0,0,5,516,1,0,100,100,1,100,93,1,1
Collections,original,0,0,5,211,1,0,100,100,1,100,247,1,1
Collections,original,0.332761767,0.332761767,0,624,1,0.332761767,0,0,0,0,39,1,1
Collections,original,0.732142857,0.25,1.666666667,261,1,0.372727273,27.77777778,27.77777778,0.277777778,0,220,1,3
Collections,original,0,0,5,597,1,0,100,100,1,100,52,1,2
Collections,original,4.05E-08,4.05E-08,3.5,550,1,4.05E-08,58.33333333,58.33333333,0.583333333,50,76,1,2
Collections,original,0.25,0.25,3,511,1,0.25,75,75,0.75,75,100,1,1
Collections,original,0.022222222,0.022222222,3,566,1,0.022222222,60,60,0.6,60,69,3,4
