project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,BRTracer,0.1392998851174659,0.1392998851174659,4.0,444,0.2,0.1392998851174659,80.0,80.0,0.8,80.0,135,1,1
Net,BRTracer,0.1432022396395354,0.1432022396395354,2.0,566,0.2,0.1432022396395354,40.0,40.0,0.4,40.0,70,1,3
Net,BRTracer,0.13475205636665047,0.13475205636665047,2.0,631,0.2,0.13475205636665047,40.0,40.0,0.4,40.0,33,1,1
Net,BRTracer,0.9372693030935371,0.9372693030935371,0.0,551,0.2,0.9372693030935371,0.0,0.0,0.0,0.0,78,1,1
Net,BRTracer,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,BRTracer,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,BRTracer,0.059723752735744644,0.059723752735744644,2.0,516,0.2,0.059723752735744644,40.0,40.0,0.4,40.0,93,1,1
Net,BRTracer,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,BRTracer,0.12505622148429002,0.12505622148429002,0.0,624,0.2,0.12505622148429002,0.0,0.0,0.0,0.0,39,1,1
Net,BRTracer,0.7452296564505254,0.2544686631782282,1.6666666666666667,261,0.2,0.3793896432839038,27.77777777777777,27.77777777777777,0.27777777777777773,0.0,220,1,3
Net,BRTracer,0.0,0.0,5,597,0.2,0,100,100,1.0,100,52,1,2
Net,BRTracer,0.10947229235084041,0.10947229235084041,3.5,550,0.2,0.10947229235084041,58.33333333333333,58.33333333333333,0.5833333333333333,50.0,76,1,2
Net,BRTracer,0.249999965631722,0.249999965631722,3.0,511,0.2,0.249999965631722,75.0,75.0,0.75,75.0,100,1,1
Net,BRTracer,0.08969463924631275,0.08969463924631275,0.0,566,0.2,0.08969463924631275,0.0,0.0,0.0,0.0,69,3,4
