project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,BugLocator,0.13925688990711052,0.13925688990711052,4.0,444,0.2,0.13925688990711052,80.0,80.0,0.8,80.0,135,1,1
Net,BugLocator,0.19800793967178268,0.19800793967178268,2.0,566,0.2,0.19800793967178265,40.0,40.0,0.4,40.0,70,1,3
Net,BugLocator,0.07849805095138915,0.07849805095138915,2.0,631,0.2,0.07849805095138915,40.0,40.0,0.4,40.0,33,1,1
Net,BugLocator,0.9355991503961968,0.9355991503961968,0.0,551,0.2,0.9355991503961968,0.0,0.0,0.0,0.0,78,1,1
Net,BugLocator,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,BugLocator,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,BugLocator,0.048762158029441706,0.048762158029441706,2.0,516,0.2,0.048762158029441706,40.0,40.0,0.4,40.0,93,1,1
Net,BugLocator,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,BugLocator,0.12503881518199067,0.12503881518199067,0.0,624,0.2,0.12503881518199067,0.0,0.0,0.0,0.0,39,1,1
Net,BugLocator,0.7449547239565346,0.2543747837900362,1.6666666666666667,261,0.2,0.37924967765059947,27.77777777777777,27.77777777777777,0.27777777777777773,0.0,220,1,3
Net,BugLocator,0.0,0.0,5,597,0.2,0,100,100,1.0,100,52,1,2
Net,BugLocator,0.07775249303765895,0.07775249303765895,3.5,550,0.2,0.07775249303765895,58.33333333333333,58.33333333333333,0.5833333333333333,50.0,76,1,2
Net,BugLocator,0.24999997788113557,0.24999997788113557,3.0,511,0.2,0.24999997788113557,75.0,75.0,0.75,75.0,100,1,1
Net,BugLocator,0.11563516306153894,0.11563516306153894,0.0,566,0.2,0.11563516306153894,0.0,0.0,0.0,0.0,69,3,4
