project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,0,0,0.14253976547291097,0.14253976547291097,4.0,444,0.2,0.14253976547291097,80.0,80.0,0.8,80.0,135,1,1
Net,0,0.1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.2,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.3,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.4,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.5,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.6,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0,0.23679182261783288,0.23679182261783288,0.0,444,0.2,0.23679182261783288,0.0,0.0,0.0,0.0,135,1,1
Net,0.1,0.1,0.14252155004629674,0.14252155004629674,4.0,444,0.2,0.14252155004629674,80.0,80.0,0.8,80.0,135,1,1
Net,0.1,0.2,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.3,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.4,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.5,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.6,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.1,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0,0.3635475320778084,0.3635475320778084,0.0,444,0.2,0.3635475320778084,0.0,0.0,0.0,0.0,135,1,1
Net,0.2,0.1,0.23430628808971699,0.23430628808971699,0.0,444,0.2,0.23430628808971699,0.0,0.0,0.0,0.0,135,1,1
Net,0.2,0.2,0.14249079382309768,0.14249079382309768,4.0,444,0.2,0.14249079382309768,80.0,80.0,0.8,80.0,135,1,1
Net,0.2,0.3,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0.4,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0.5,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0.6,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.2,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,0,0.5065184157449534,0.5065184157449534,0.0,444,0.2,0.5065184157449534,0.0,0.0,0.0,0.0,135,1,1
Net,0.3,0.1,0.3547834884883667,0.3547834884883667,0.0,444,0.2,0.35478348848836666,0.0,0.0,0.0,0.0,135,1,1
Net,0.3,0.2,0.22993474714411882,0.22993474714411882,0.0,444,0.2,0.22993474714411882,0.0,0.0,0.0,0.0,135,1,1
Net,0.3,0.3,0.14244508638570036,0.14244508638570036,4.0,444,0.2,0.14244508638570036,80.0,80.0,0.8,80.0,135,1,1
Net,0.3,0.4,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,0.5,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,0.6,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,0.7,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,0.8,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.3,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0,0,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.1,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.2,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.3,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.4,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.5,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.6,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.7,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.8,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,0.9,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0,1,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0,0.07215490641366032,0.07215490641366032,0.0,566,0.2,0.07215490641366032,0.0,0.0,0.0,0.0,70,1,3
Net,0.1,0.1,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.2,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.3,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.4,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.5,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.6,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.7,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.8,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,0.9,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.1,1,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0,0.1252419650397335,0.1252419650397335,0.0,566,0.2,0.1252419650397335,0.0,0.0,0.0,0.0,70,1,3
Net,0.2,0.1,0.07124607762882244,0.07124607762882244,0.0,566,0.2,0.07124607762882244,0.0,0.0,0.0,0.0,70,1,3
Net,0.2,0.2,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.3,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.4,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.5,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.6,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.7,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.8,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,0.9,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.2,1,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.3,0,0.20462658901698813,0.20462658901698813,0.0,566,0.2,0.20462658901698813,0.0,0.0,0.0,0.0,70,1,3
Net,0.3,0.1,0.12114526869537909,0.12114526869537909,0.0,566,0.2,0.12114526869537909,0.0,0.0,0.0,0.0,70,1,3
Net,0.3,0.2,0.06965642549842557,0.06965642549842557,0.0,566,0.2,0.06965642549842557,0.0,0.0,0.0,0.0,70,1,3
Net,0.3,0.3,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.3,0.4,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.3,0.5,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
Net,0.3,0.6,0.0,0.0,5,566,0.2,0,100,100,1.0,100,70,1,3
