technique,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
BugLocator,NET-209,0,0,-1,-1,146,[],-1,-1,146,[],0
BugLocator,NET-199,1,1,0,0,146,[0],0,0,146,[0],0.8
BugLocator,NET-190,2,1,146,146,146,"[146, 146]",146,146,146,[146],0.0
BugLocator,NET-191,3,3,33,125,146,"[33, 125, 85]",33,125,146,"[33, 125, 85]",0.063114598
BugLocator,NET-260,2,1,156,159,159,"[156, 159]",156,156,159,[156],0.0
BugLocator,NET-248,1,0,159,159,159,[159],-1,-1,159,[],0
BugLocator,NET-180,2,2,0,54,159,"[54, 0]",0,54,159,"[54, 0]",0.4595231
BugLocator,NET-242,1,1,154,154,159,[154],154,154,159,[154],0.0
BugLocator,NET-277,1,1,61,61,159,[61],61,61,159,[61],0.063507274
BugLocator,NET-250,1,0,159,159,159,[159],-1,-1,159,[],0
BugLocator,NET-279,1,1,40,40,159,[40],40,40,159,[40],0.07906362
BugLocator,NET-259,2,2,14,36,159,"[14, 36]",14,36,159,"[14, 36]",0.17696599500000001
BugLocator,NET-236,1,1,20,20,159,[20],20,20,159,[20],0.17184643
BugLocator,NET-257,1,1,26,26,159,[26],26,26,159,[26],0.18402906
BugLocator,NET-261,3,2,14,159,159,"[14, 131, 159]",14,131,159,"[14, 131]",0.049694075
BugLocator,NET-46,1,1,17,17,185,[17],17,17,185,[17],0.21703187
BugLocator,NET-185,1,1,17,17,182,[17],17,17,182,[17],0.028131157
BugLocator,NET-268,1,1,83,83,182,[83],83,83,182,[83],0.0
BugLocator,NET-291,1,1,37,37,183,[37],37,37,183,[37],0.2
BugLocator,NET-206,1,1,125,125,133,[125],125,125,133,[125],0.0
BugLocator,NET-198,1,1,13,13,133,[13],13,13,133,[13],0.51936185
BugLocator,NET-201,0,0,-1,-1,133,[],-1,-1,133,[],0
BugLocator,NET-73,1,1,53,53,133,[53],53,53,133,[53],0.20520711
BugLocator,NET-224,2,1,122,133,133,"[122, 133]",122,122,133,[122],0.0048782025
BugLocator,NET-161,2,1,133,133,133,"[133, 133]",133,133,133,[133],0.0
BugLocator,NET-188,3,3,51,133,133,"[51, 133, 133]",51,133,133,"[51, 133, 133]",0.04590795
BugLocator,NET-170,2,2,106,116,153,"[106, 116]",106,116,153,"[106, 116]",0.001845796
BugLocator,NET-211,2,1,41,153,153,"[41, 153]",41,41,153,[41],0.038686212
BugLocator,NET-36,2,2,2,153,153,"[153, 2]",2,153,153,"[153, 2]",0.427778425
BugLocator,NET-169,1,1,11,11,153,[11],11,11,153,[11],0.28732395
BugLocator,NET-178,1,1,6,6,153,[6],6,6,153,[6],0.38712022
BugLocator,NET-172,1,1,11,11,153,[11],11,11,153,[11],0.335905
BugLocator,NET-225,2,1,132,153,153,"[132, 153]",132,132,153,[132],0.036189463
BugLocator,NET-230,1,1,58,58,153,[58],58,58,153,[58],0.09050399
BugLocator,NET-195,1,1,8,8,153,[8],8,8,153,[8],0.25103098
BugLocator,NET-28,1,0,153,153,153,[153],-1,-1,153,[],0
BugLocator,NET-216,1,1,81,81,153,[81],81,81,153,[81],0.043861996
BugLocator,NET-223,1,0,153,153,153,[153],-1,-1,153,[],0
BugLocator,NET-194,2,1,103,153,153,"[103, 153]",103,103,153,[103],0.01795513
BugLocator,NET-203,3,3,131,149,153,"[143, 149, 131]",131,149,153,"[143, 149, 131]",0.0019502377333333331
BugLocator,NET-182,1,1,55,55,153,[55],55,55,153,[55],0.0
BugLocator,NET-213,2,1,146,153,153,"[146, 153]",146,146,153,[146],0.0
BugLocator,NET-24,2,2,153,153,153,"[153, 153]",153,153,153,"[153, 153]",0.0
BugLocator,NET-148,2,2,1,153,153,"[1, 153]",1,153,153,"[1, 153]",0.35455385
BugLocator,NET-221,2,2,70,82,153,"[82, 70]",70,82,153,"[82, 70]",0.0
BugLocator,NET-232,1,1,82,82,152,[82],82,82,152,[82],0.034987535
