project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Compress,BugLocator,0.13925689,0.13925689,4,444,0.2,0.13925689,80,80,0.8,80,135,1,1
Compress,BugLocator,0.19800794,0.19800794,2,566,0.2,0.19800794,40,40,0.4,40,70,1,3
Compress,BugLocator,0.078498051,0.078498051,2,631,0.2,0.078498051,40,40,0.4,40,33,1,1
Compress,BugLocator,0.93559915,0.93559915,0,551,0.2,0.93559915,0,0,0,0,78,1,1
Compress,BugLocator,0,0,5,339,0.2,0,100,100,1,100,194,1,2
Compress,BugLocator,0,0,7,483,0.2,0,100,100,1,100,121,1,3
Compress,BugLocator,0.048762158,0.048762158,2,516,0.2,0.048762158,40,40,0.4,40,93,1,1
Compress,BugLocator,0,0,5,211,0.2,0,100,100,1,100,247,1,1
Compress,BugLocator,0.125038815,0.125038815,0,624,0.2,0.125038815,0,0,0,0,39,1,1
Compress,BugLocator,0.744954724,0.254374784,1.666666667,261,0.2,0.379249678,27.77777778,27.77777778,0.277777778,0,220,1,3
Compress,BugLocator,0,0,5,597,0.2,0,100,100,1,100,52,1,2
Compress,BugLocator,0.077752493,0.077752493,3.5,550,0.2,0.077752493,58.33333333,58.33333333,0.583333333,50,76,1,2
Compress,BugLocator,0.249999978,0.249999978,3,511,0.2,0.249999978,75,75,0.75,75,100,1,1
Compress,BugLocator,0.115635163,0.115635163,0,566,0.2,0.115635163,0,0,0,0,69,3,4
