project,method,method topics,method topics values,metric,metric regular topics,regular topics values,Kendall Tau value,RBO,diff between first method and regular first,diff between first method and regular second,diff between first method and regular third,diff between second method and regular first,diff between third method and regular first,diff between forth method and regular first,diff between fifth method and regular first
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.206, 0.142, 0.134, 0.188, 0.181, 0.142, 0.123, 0.138, 0.154, 0.182, 0.187, 0.158, 0.147, 0.19, 0.178, 0.171, 0.178, 0.131, 0.132, 0.183, 0.202, 0.188, 0.129, 0.172, 0.191, 0.155, 0.137, 0.164, 0.136, 0.123]",precision,"['40', '480', '340', '580', '520', '360', '460', '420', '180', '160', '560', '260', '500', '400', '540', '240', '80', '200', '120', '100', '20', '280', '440', '220', '60', '140', '300', '600', '320', '380']","[0.206, 0.202, 0.191, 0.19, 0.188, 0.188, 0.187, 0.183, 0.182, 0.181, 0.178, 0.178, 0.172, 0.171, 0.164, 0.158, 0.155, 0.154, 0.147, 0.142, 0.142, 0.138, 0.137, 0.136, 0.134, 0.132, 0.131, 0.129, 0.123, 0.123]",0.006896552,0.497933557,0,-0.004,-0.015,0.064,0.072,0.018,0.025
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.171, 0.108, 0.097, 0.142, 0.134, 0.103, 0.082, 0.098, 0.112, 0.139, 0.143, 0.121, 0.107, 0.145, 0.14, 0.128, 0.132, 0.09, 0.097, 0.141, 0.157, 0.145, 0.09, 0.126, 0.147, 0.116, 0.097, 0.122, 0.097, 0.084]",recall,"['40', '480', '340', '520', '580', '460', '360', '420', '560', '180', '160', '260', '400', '500', '540', '240', '80', '200', '20', '120', '100', '280', '220', '60', '440', '140', '300', '600', '320', '380']","[0.171, 0.157, 0.147, 0.145, 0.145, 0.143, 0.142, 0.141, 0.14, 0.139, 0.134, 0.132, 0.128, 0.126, 0.122, 0.121, 0.116, 0.112, 0.108, 0.107, 0.103, 0.098, 0.097, 0.097, 0.097, 0.097, 0.09, 0.09, 0.084, 0.082]",-0.135632184,0.484587142,0,-0.014,-0.024,0.063,0.074,0.029,0.037
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[3.298, 3.036, 3.679, 2.845, 2.714, 3.893, 3.464, 3.607, 3.464, 2.857, 2.75, 3.607, 3.536, 2.929, 3.321, 3.393, 3.274, 3.75, 3.25, 3.0, 2.571, 2.5, 3.893, 3.071, 2.821, 3.036, 3.964, 3.393, 3.821, 3.893]",wasted,"['520', '480', '160', '460', '340', '360', '180', '580', '420', '80', '20', '500', '140', '260', '40', '560', '400', '540', '380', '200', '120', '240', '280', '60', '300', '220', '100', '320', '600', '440']","[2.5, 2.571, 2.714, 2.75, 2.821, 2.845, 2.857, 2.929, 3.0, 3.036, 3.036, 3.071, 3.25, 3.274, 3.298, 3.321, 3.393, 3.393, 3.464, 3.464, 3.536, 3.607, 3.607, 3.679, 3.75, 3.821, 3.893, 3.893, 3.893, 3.964]",-0.232183908,0.303494331,-0.798,-0.727,-0.584,-0.536,-1.179,-0.345,-0.214
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.18, 0.117, 0.107, 0.154, 0.147, 0.113, 0.093, 0.109, 0.123, 0.15, 0.155, 0.131, 0.117, 0.157, 0.15, 0.14, 0.144, 0.101, 0.106, 0.152, 0.169, 0.156, 0.1, 0.139, 0.159, 0.127, 0.107, 0.133, 0.108, 0.095]",f-score,"['40', '480', '340', '580', '520', '460', '360', '420', '180', '560', '160', '260', '400', '500', '540', '240', '80', '200', '20', '120', '100', '280', '220', '440', '60', '140', '300', '600', '320', '380']","[0.18, 0.169, 0.159, 0.157, 0.156, 0.155, 0.154, 0.152, 0.15, 0.15, 0.147, 0.144, 0.14, 0.139, 0.133, 0.131, 0.127, 0.123, 0.117, 0.117, 0.113, 0.109, 0.108, 0.107, 0.107, 0.106, 0.101, 0.1, 0.095, 0.093]",-0.149425287,0.484217853,0,-0.011,-0.021,0.063,0.073,0.026,0.033
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[55.794, 57.857, 69.643, 52.897, 50.357, 73.929, 66.429, 61.071, 61.071, 53.571, 51.071, 68.214, 62.5, 54.643, 62.5, 59.643, 58.611, 70.357, 62.143, 56.071, 47.5, 46.429, 71.429, 57.857, 45.357, 56.786, 75.714, 64.286, 72.857, 73.929]",expense,"['340', '520', '480', '160', '460', '360', '180', '580', '40', '420', '80', '20', '500', '260', '400', '200', '280', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[45.357, 46.429, 47.5, 50.357, 51.071, 52.897, 53.571, 54.643, 55.794, 56.071, 56.786, 57.857, 57.857, 58.611, 59.643, 61.071, 61.071, 62.143, 62.5, 62.5, 64.286, 66.429, 68.214, 69.643, 70.357, 71.429, 72.857, 73.929, 73.929, 75.714]",0.057471264,0.324007278,-10.437,-9.365,-8.294,-12.5,-24.286,-7.54,-5
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[55.794, 57.857, 69.643, 52.897, 50.357, 73.929, 66.429, 61.071, 61.071, 53.571, 51.071, 68.214, 62.5, 54.643, 62.5, 59.643, 58.611, 70.357, 62.143, 56.071, 47.5, 46.429, 71.429, 57.857, 45.357, 56.786, 75.714, 64.286, 72.857, 73.929]",t-score,"['340', '520', '480', '160', '460', '360', '180', '580', '40', '420', '80', '20', '500', '260', '400', '200', '280', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[45.357, 46.429, 47.5, 50.357, 51.071, 52.897, 53.571, 54.643, 55.794, 56.071, 56.786, 57.857, 57.857, 58.611, 59.643, 61.071, 61.071, 62.143, 62.5, 62.5, 64.286, 66.429, 68.214, 69.643, 70.357, 71.429, 72.857, 73.929, 73.929, 75.714]",0.057471264,0.324007278,-10.437,-9.365,-8.294,-12.5,-24.286,-7.54,-5
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.558, 0.579, 0.696, 0.529, 0.504, 0.739, 0.664, 0.611, 0.611, 0.536, 0.511, 0.682, 0.625, 0.546, 0.625, 0.596, 0.586, 0.704, 0.621, 0.561, 0.475, 0.464, 0.714, 0.579, 0.454, 0.568, 0.757, 0.643, 0.729, 0.739]",cost,"['340', '520', '480', '160', '460', '360', '180', '580', '40', '420', '80', '20', '500', '260', '400', '280', '200', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[0.454, 0.464, 0.475, 0.504, 0.511, 0.529, 0.536, 0.546, 0.558, 0.561, 0.568, 0.579, 0.579, 0.586, 0.596, 0.611, 0.611, 0.621, 0.625, 0.625, 0.643, 0.664, 0.682, 0.696, 0.704, 0.714, 0.729, 0.739, 0.739, 0.757]",0.062068966,0.324007278,-0.104,-0.094,-0.083,-0.125,-0.242,-0.075,-0.05
Compress,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[53.214, 56.071, 67.857, 49.286, 47.857, 72.143, 63.214, 59.286, 59.286, 51.071, 47.857, 66.429, 60.714, 52.143, 60.714, 57.857, 56.429, 68.571, 60.357, 53.571, 45.0, 43.929, 69.643, 55.357, 43.571, 55.0, 73.929, 61.071, 71.071, 72.143]",exam-score,"['340', '520', '480', '460', '160', '360', '180', '580', '40', '420', '80', '500', '20', '260', '400', '200', '280', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[43.571, 43.929, 45.0, 47.857, 47.857, 49.286, 51.071, 52.143, 53.214, 53.571, 55.0, 55.357, 56.071, 56.429, 57.857, 59.286, 59.286, 60.357, 60.714, 60.714, 61.071, 63.214, 66.429, 67.857, 68.571, 69.643, 71.071, 72.143, 72.143, 73.929]",0.15862069,0.32139219,-9.643,-9.285,-8.214,-12.5,-24.286,-5.715,-4.286
Compress,average similarity,"['20', '40', '80', '60', '140', '120', '100', '440', '320', '180', '200', '540', '300', '500', '280', '160', '600', '260', '460', '340', '240', '380', '220', '520', '420', '580', '360', '560', '480', '400']","[0.142, 0.206, 0.155, 0.134, 0.132, 0.147, 0.142, 0.137, 0.123, 0.182, 0.154, 0.164, 0.131, 0.172, 0.138, 0.181, 0.129, 0.178, 0.187, 0.191, 0.158, 0.123, 0.136, 0.188, 0.183, 0.19, 0.188, 0.178, 0.202, 0.171]",precision,"['40', '480', '340', '580', '520', '360', '460', '420', '180', '160', '560', '260', '500', '400', '540', '240', '80', '200', '120', '100', '20', '280', '440', '220', '60', '140', '300', '600', '320', '380']","[0.206, 0.202, 0.191, 0.19, 0.188, 0.188, 0.187, 0.183, 0.182, 0.181, 0.178, 0.178, 0.172, 0.171, 0.164, 0.158, 0.155, 0.154, 0.147, 0.142, 0.142, 0.138, 0.137, 0.136, 0.134, 0.132, 0.131, 0.129, 0.123, 0.123]",0.048275862,0.307960087,0.064,0.06,0.049,0,0.051,0.072,0.074
Compress,average similarity,"['20', '40', '80', '60', '140', '120', '100', '440', '320', '180', '200', '540', '300', '500', '280', '160', '600', '260', '460', '340', '240', '380', '220', '520', '420', '580', '360', '560', '480', '400']","[0.108, 0.171, 0.116, 0.097, 0.097, 0.107, 0.103, 0.097, 0.084, 0.139, 0.112, 0.122, 0.09, 0.126, 0.098, 0.134, 0.09, 0.132, 0.143, 0.147, 0.121, 0.082, 0.097, 0.145, 0.141, 0.145, 0.142, 0.14, 0.157, 0.128]",recall,"['40', '480', '340', '520', '580', '460', '360', '420', '560', '180', '160', '260', '400', '500', '540', '240', '80', '200', '20', '120', '100', '280', '220', '60', '440', '140', '300', '600', '320', '380']","[0.171, 0.157, 0.147, 0.145, 0.145, 0.143, 0.142, 0.141, 0.14, 0.139, 0.134, 0.132, 0.128, 0.126, 0.122, 0.121, 0.116, 0.112, 0.108, 0.107, 0.103, 0.098, 0.097, 0.097, 0.097, 0.097, 0.09, 0.09, 0.084, 0.082]",0.181609195,0.307960087,0.063,0.049,0.039,0,0.055,0.074,0.074
