method,project,MAP,MRR,TOP-K,average similarity
20_Topics,Csv,0.20694444444444443,0.6357142857142858,0.14521193092621662,0.9157857142857141
40_Topics,Csv,0.2626984126984127,0.7916666666666666,0.0694662480376766,0.9629285714285711
60_Topics,Csv,0.23356009070294784,0.6768707482993197,0.09317573183119401,0.863642857142857
80_Topics,Csv,0.24328231292517005,0.7119897959183673,0.15306122448979592,0.7837857142857142
100_Topics,Csv,0.25000000000000006,0.75,0.09301412872841444,0.7803571428571429
120_Topics,Csv,0.24801587301587302,0.738095238095238,0.08516483516483517,0.8845714285714287
140_Topics,Csv,0.24999999999999994,0.7559523809523808,0.09576138147566719,0.6999642857142856
160_Topics,Csv,0.21626984126984125,0.6488095238095238,0.09065934065934067,0.8077857142857143
180_Topics,Csv,0.25000000000000006,0.7261904761904762,0.05886970172684458,0.8907142857142857
200_Topics,Csv,0.24484126984126986,0.7166666666666666,0.0859497645211931,0.7572142857142857
220_Topics,Csv,0.253968253968254,0.761904761904762,0.05926216640502354,0.8237500000000001
240_Topics,Csv,0.2706349206349206,0.7761904761904762,0.06436420722135007,0.5917500000000001
260_Topics,Csv,0.26190476190476186,0.7797619047619048,0.06138609289869793,0.7171428571428572
280_Topics,Csv,0.25992063492063494,0.75,0.06475667189952905,0.8652142857142857
300_Topics,Csv,0.2380952380952381,0.7023809523809523,0.1032182103610675,0.6351071428571428
320_Topics,Csv,0.25992063492063494,0.8035714285714286,0.05965463108320251,0.8490357142857142
340_Topics,Csv,0.25000000000000006,0.7309523809523809,0.09654631083202513,0.815392857142857
360_Topics,Csv,0.24404761904761907,0.7321428571428571,0.07064364207221349,0.8414285714285715
380_Topics,Csv,0.251984126984127,0.738095238095238,0.06475667189952904,0.7731428571428572
400_Topics,Csv,0.24642857142857147,0.7428571428571429,0.10282574568288852,0.8263214285714284
420_Topics,Csv,0.2718253968253968,0.8214285714285714,0.058084772370486655,0.77025
440_Topics,Csv,0.25793650793650796,0.738095238095238,0.06475667189952905,0.8670357142857142
460_Topics,Csv,0.2837301587301587,0.8154761904761905,0.05259026687598116,0.7019285714285716
480_Topics,Csv,0.24801587301587302,0.7202380952380952,0.09065934065934066,0.7028571428571428
500_Topics,Csv,0.25198412698412703,0.738095238095238,0.09183673469387754,0.64925
520_Topics,Csv,0.19940476190476192,0.6011904761904762,0.08936651583710407,0.9349642857142857
540_Topics,Csv,0.226984126984127,0.6630952380952381,0.11734693877551018,0.7354285714285715
560_Topics,Csv,0.2311791383219955,0.7071428571428572,0.1350078492935636,0.7408214285714286
580_Topics,Csv,0.2936507936507936,0.875,0.043171114599686033,0.691357142857143
600_Topics,Csv,0.251984126984127,0.744047619047619,0.07025117739403454,0.7535714285714287
