num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
20,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.986
20,CSV-100,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.996
20,CSV-106,2,1,0,11,25,"[0, 11]",0,0,13,[0],1.0
20,CSV-111,2,1,1,9,25,"[1, 9]",1,1,13,[1],0.99
20,CSV-112,2,1,3,7,25,"[3, 7]",3,3,13,[3],0.977
20,CSV-114,2,1,4,8,25,"[4, 8]",4,4,13,[4],0.982
20,CSV-118,2,1,1,9,25,"[1, 9]",1,1,13,[1],1.0
20,CSV-120,3,2,0,3,25,"[3, 0, 2]",0,2,13,"[2, 0]",0.757
20,CSV-122,2,1,4,10,25,"[4, 10]",3,3,13,[3],0.584
20,CSV-128,2,1,4,7,25,"[4, 7]",4,4,13,[4],0.981
20,CSV-168,3,2,0,9,28,"[0, 9, 7]",0,7,14,"[0, 7]",0.734
20,CSV-171,2,1,0,9,28,"[0, 9]",0,0,14,[0],0.982
20,CSV-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.876
20,CSV-224,2,1,1,7,31,"[1, 7]",1,1,14,[1],0.976
40,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.999
40,CSV-100,2,1,1,5,25,"[1, 5]",1,1,13,[1],0.948
40,CSV-106,2,1,3,8,25,"[3, 8]",3,3,13,[3],0.965
40,CSV-111,2,1,0,10,25,"[0, 10]",0,0,13,[0],0.999
40,CSV-112,2,1,1,9,25,"[1, 9]",1,1,13,[1],0.998
40,CSV-114,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.861
40,CSV-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.936
40,CSV-120,3,2,0,6,25,"[1, 0, 6]",0,1,13,"[1, 0]",0.9299999999999999
40,CSV-122,2,1,2,9,25,"[2, 9]",2,2,13,[2],0.955
40,CSV-128,2,1,0,9,25,"[0, 9]",0,0,13,[0],0.979
40,CSV-168,3,2,0,7,28,"[0, 4, 7]",0,4,14,"[0, 4]",0.9390000000000001
40,CSV-171,2,1,0,7,28,"[0, 7]",0,0,14,[0],0.998
40,CSV-219,2,1,0,7,31,"[0, 7]",0,0,14,[0],0.995
40,CSV-224,2,1,1,9,31,"[1, 9]",1,1,14,[1],0.979
60,CSV-96,1,1,2,2,28,[2],2,2,17,[2],0.919
60,CSV-100,2,1,1,2,25,"[1, 2]",0,0,13,[0],0.964
60,CSV-106,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.982
60,CSV-111,2,1,2,4,25,"[2, 4]",2,2,13,[2],0.924
60,CSV-112,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.937
60,CSV-114,2,1,2,13,25,"[2, 13]",2,2,13,[2],0.877
60,CSV-118,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.992
60,CSV-120,3,2,0,7,25,"[1, 0, 7]",0,1,13,"[1, 0]",0.984
60,CSV-122,2,1,2,5,25,"[2, 5]",2,2,13,[2],0.946
60,CSV-128,2,1,1,5,25,"[5, 1]",1,1,13,[1],0.625
60,CSV-168,3,2,3,6,28,"[5, 6, 3]",1,2,14,"[1, 2]",0.713
60,CSV-171,2,1,2,12,28,"[12, 2]",6,6,14,[6],0.416
60,CSV-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.923
60,CSV-224,2,1,0,3,31,"[3, 0]",0,0,14,[0],0.889
80,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.979
80,CSV-100,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.879
80,CSV-106,2,1,0,15,25,"[0, 15]",0,0,13,[0],0.968
80,CSV-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.965
80,CSV-112,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.96
80,CSV-114,2,1,3,12,25,"[3, 12]",3,3,13,[3],0.956
80,CSV-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.874
80,CSV-120,3,2,0,4,25,"[3, 0, 4]",0,3,13,"[3, 0]",0.7575000000000001
80,CSV-122,2,1,4,8,25,"[4, 8]",4,4,13,[4],0.567
80,CSV-128,2,1,3,4,25,"[3, 4]",3,3,13,[3],0.954
80,CSV-168,3,2,0,8,28,"[3, 0, 8]",0,3,14,"[3, 0]",0.7505
80,CSV-171,2,1,3,11,28,"[11, 3]",7,7,14,[7],0.248
80,CSV-219,2,1,0,10,31,"[10, 0]",6,6,14,[6],0.147
80,CSV-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.968
100,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.969
100,CSV-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.937
100,CSV-106,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.989
100,CSV-111,2,1,0,17,25,"[0, 17]",0,0,13,[0],0.967
100,CSV-112,2,1,5,7,25,"[5, 7]",5,5,13,[5],0.805
100,CSV-114,2,1,5,7,25,"[5, 7]",2,2,13,[2],0.005
100,CSV-118,2,1,0,21,25,"[0, 21]",0,0,13,[0],0.643
100,CSV-120,3,2,0,5,25,"[0, 1, 5]",0,1,13,"[0, 1]",0.998
100,CSV-122,2,1,7,8,25,"[7, 8]",5,5,13,[5],0.655
100,CSV-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.147
100,CSV-168,3,2,0,7,28,"[0, 1, 7]",0,1,14,"[0, 1]",0.912
100,CSV-171,2,1,0,6,28,"[0, 6]",0,0,14,[0],0.998
100,CSV-219,2,1,0,6,31,"[0, 6]",0,0,14,[0],0.942
100,CSV-224,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.958
120,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.94
120,CSV-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.986
120,CSV-106,2,1,0,8,25,"[0, 8]",0,0,13,[0],0.925
120,CSV-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.923
120,CSV-112,2,1,2,3,25,"[2, 3]",2,2,13,[2],0.945
120,CSV-114,2,1,3,7,25,"[3, 7]",2,2,13,[2],0.891
120,CSV-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.934
120,CSV-120,3,2,0,6,25,"[3, 0, 6]",0,2,13,"[2, 0]",0.853
120,CSV-122,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.962
120,CSV-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.557
120,CSV-168,3,2,1,8,28,"[1, 8, 6]",1,5,14,"[1, 5]",0.81
120,CSV-171,2,1,3,6,28,"[3, 6]",2,2,14,[2],0.948
120,CSV-219,2,1,0,7,31,"[0, 7]",0,0,14,[0],0.846
120,CSV-224,2,1,0,3,31,"[0, 3]",0,0,14,[0],0.864
140,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.908
140,CSV-100,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.992
140,CSV-106,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.94
140,CSV-111,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.865
140,CSV-112,2,1,0,4,25,"[0, 4]",0,0,13,[0],0.76
140,CSV-114,2,1,4,11,25,"[4, 11]",3,3,13,[3],0.004
140,CSV-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.763
140,CSV-120,3,2,0,5,25,"[0, 2, 5]",0,2,13,"[0, 2]",0.9564999999999999
140,CSV-122,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.994
140,CSV-128,2,1,4,6,25,"[6, 4]",5,5,13,[5],0.5
140,CSV-168,3,2,0,3,28,"[2, 3, 0]",1,2,14,"[1, 2]",0.556
140,CSV-171,2,1,0,9,28,"[9, 0]",5,5,14,[5],0.407
140,CSV-219,2,1,0,4,31,"[4, 0]",1,1,14,[1],0.186
140,CSV-224,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.968
160,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.93
160,CSV-100,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.939
160,CSV-106,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.965
160,CSV-111,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.942
160,CSV-112,2,1,2,8,25,"[2, 8]",2,2,13,[2],0.963
160,CSV-114,2,1,4,10,25,"[10, 4]",3,3,13,[3],0.03
160,CSV-118,2,1,0,3,25,"[0, 3]",0,0,13,[0],0.753
160,CSV-120,3,2,0,5,25,"[0, 1, 5]",0,1,13,"[0, 1]",0.9695
160,CSV-122,2,1,2,8,25,"[2, 8]",2,2,13,[2],0.984
160,CSV-128,2,1,0,6,25,"[6, 0]",1,1,13,[1],0.168
160,CSV-168,3,2,1,6,28,"[1, 3, 6]",1,3,14,"[1, 3]",0.9255
160,CSV-171,2,1,2,6,28,"[2, 6]",2,2,14,[2],0.986
160,CSV-219,2,1,0,3,31,"[3, 0]",2,2,14,[2],0.773
160,CSV-224,2,1,0,9,31,"[0, 9]",0,0,14,[0],0.981
180,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.869
180,CSV-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.995
180,CSV-106,2,1,1,7,25,"[1, 7]",1,1,13,[1],0.95
180,CSV-111,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.843
180,CSV-112,2,1,1,3,25,"[1, 3]",1,1,13,[1],0.922
180,CSV-114,2,1,2,3,25,"[2, 3]",1,1,13,[1],0.427
180,CSV-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.854
180,CSV-120,3,2,1,4,25,"[4, 1, 3]",1,2,13,"[2, 1]",0.9395
180,CSV-122,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.996
180,CSV-128,2,1,2,3,25,"[3, 2]",2,2,13,[2],0.921
180,CSV-168,3,2,1,4,28,"[2, 1, 4]",1,2,14,"[2, 1]",0.9435
180,CSV-171,2,1,3,4,28,"[4, 3]",2,2,14,[2],0.89
180,CSV-219,2,1,0,4,31,"[0, 4]",0,0,14,[0],0.933
180,CSV-224,2,1,0,2,31,"[0, 2]",0,0,14,[0],0.987
200,CSV-96,1,1,0,0,28,[0],0,0,17,[0],0.981
200,CSV-100,2,1,1,2,25,"[1, 2]",1,1,13,[1],0.943
