project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Csv,original,0.5,0.5,1.0,96,1,0.5,50.0,50.0,0.5,50.0,2,1,1
Csv,original,0.0,0.0,5,219,1,0,100,100,1.0,100,15,1,1
Csv,original,0.0,0.0,5,168,1,0,100,100,1.0,100,13,2,1
Csv,original,0.0,0.0,5,122,1,0,100,100,1.0,100,11,1,1
Csv,original,0.0,0.0,5,112,1,0,100,100,1.0,100,7,1,1
Csv,original,0.0,0.0,5,106,1,0,100,100,1.0,100,5,1,1
Csv,original,0.05557217368720204,0.05557217368720204,1.0,118,1,0.05557217368720204,20.0,20.0,0.2,20.0,9,1,1
Csv,original,0.0,0.0,5,171,1,0,100,100,1.0,100,14,1,1
Csv,original,0.0,0.0,5,120,1,0,100,100,1.0,100,10,2,2
Csv,original,1.0,1.0,0.0,100,1,1.0,0.0,0.0,0.0,0.0,4,1,1
