project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Csv,0.4,0,0.9141599090148433,0.9141599090148433,0.0,96,0.2,0.9141599090148433,0.0,0.0,0.0,0.0,2,1,1
Csv,0.4,0.1,0.8508794002920967,0.8508794002920967,0.0,96,0.2,0.8508794002920967,0.0,0.0,0.0,0.0,2,1,1
Csv,0.4,0.2,0.7560538782608641,0.7560538782608641,0.0,96,0.2,0.7560538782608641,0.0,0.0,0.0,0.0,2,1,1
Csv,0.4,0.3,0.6329957838175576,0.6329957838175576,0.0,96,0.2,0.6329957838175576,0.0,0.0,0.0,0.0,2,1,1
Csv,0.4,0.4,0.5000000291043671,0.5000000291043671,0.0,96,0.2,0.5000000291043671,0.0,0.0,0.0,0.0,2,1,1
Csv,0.4,0.5,0.381890924655989,0.381890924655989,1.0,96,0.2,0.38189092465598895,50.0,50.0,0.5,50.0,2,1,1
Csv,0.4,0.6,0.2939478352935773,0.2939478352935773,1.0,96,0.2,0.2939478352935773,50.0,50.0,0.5,50.0,2,1,1
Csv,0.4,0.7,0.2366822803662438,0.2366822803662438,1.0,96,0.2,0.2366822803662438,50.0,50.0,0.5,50.0,2,1,1
Csv,0.4,0.8,0.20257902219654877,0.20257902219654877,1.0,96,0.2,0.20257902219654877,50.0,50.0,0.5,50.0,2,1,1
Csv,0.4,0.9,0.1833399841745479,0.1833399841745479,1.0,96,0.2,0.1833399841745479,50.0,50.0,0.5,50.0,2,1,1
Csv,0.4,1,0.17281675675568778,0.17281675675568778,1.0,96,0.2,0.17281675675568778,50.0,50.0,0.5,50.0,2,1,1
Csv,0.5,0,0.9451659599583558,0.9451659599583558,0.0,96,0.2,0.9451659599583558,0.0,0.0,0.0,0.0,2,1,1
Csv,0.5,0.1,0.9022999593602764,0.9022999593602764,0.0,96,0.2,0.9022999593602764,0.0,0.0,0.0,0.0,2,1,1
Csv,0.5,0.2,0.8337852517842983,0.8337852517842983,0.0,96,0.2,0.8337852517842983,0.0,0.0,0.0,0.0,2,1,1
Csv,0.5,0.3,0.7362601719867584,0.7362601719867584,0.0,96,0.2,0.7362601719867584,0.0,0.0,0.0,0.0,2,1,1
Csv,0.5,0.4,0.6181091262774664,0.6181091262774664,0.0,96,0.2,0.6181091262774664,0.0,0.0,0.0,0.0,2,1,1
Csv,0.5,0.5,0.5000000248390808,0.5000000248390808,0.0,96,0.2,0.5000000248390808,0.0,0.0,0.0,0.0,2,1,1
