project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Io,0,0,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.1,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.2,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.3,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.4,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.5,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.6,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.7,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.8,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,0.9,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0,1,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.1,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.2,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.3,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.4,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.5,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.6,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.7,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.8,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,0.9,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.1,1,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0,0.10181124631788757,0.10181124631788757,0.0,274,0.2,0.10181124631788757,0.0,0.0,0.0,0.0,242,1,2
Io,0.2,0.1,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0.2,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0.3,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0.4,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0.5,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0.6,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
Io,0.2,0.7,0.0,0.0,5,274,0.2,0,100,100,1.0,100,242,1,2
