project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Io,BRTracer,0.16271387695407155,0.16271387695407155,1.0,257,0.2,0.16271387695407155,20.0,20.0,0.2,20.0,250,1,1,BRTracer,BRTracer
Io,original,5.72245302001823e-07,5.72245302001823e-07,1.0,257,1,5.72245302001823e-07,20.0,20.0,0.2,20.0,250,1,1,original,original
Io,BugLocator,0.1611029909237748,0.1611029909237748,1.0,257,0.2,0.1611029909237748,20.0,20.0,0.2,20.0,250,1,1,BugLocator,BugLocator
Io,20_sigmuid,0.1510290172852433,0.1510290172852433,3.0,257,0.2,0.1510290172852433,60.0,60.0,0.6,60.0,250,1,1,ranked 1,ranked 1
Io,40_sigmuid,0.16956389975767205,0.16956389975767205,2.0,257,0.2,0.16956389975767205,40.0,40.0,0.4,40.0,250,1,1,ranked 2,ranked 2
Io,60_sigmuid,0.18745024262387486,0.18745024262387486,2.0,257,0.2,0.18745024262387486,40.0,40.0,0.4,40.0,250,1,1,ranked 8,ranked 3
Io,80_sigmuid,0.11041036884719208,0.11041036884719208,3.0,257,0.2,0.11041036884719206,60.0,60.0,0.6,60.0,250,1,1,ranked 3,ranked 6
Io,100_sigmuid,0.20583723362293174,0.20583723362293174,1.0,257,0.2,0.20583723362293174,20.0,20.0,0.2,20.0,250,1,1,ranked 7,ranked 8
Io,120_sigmuid,0.1152091655781336,0.1152091655781336,4.0,257,0.2,0.1152091655781336,80.0,80.0,0.8,80.0,250,1,1,ranked 17,ranked 4
Io,140_sigmuid,0.11407136879287162,0.11407136879287162,4.0,257,0.2,0.11407136879287162,80.0,80.0,0.8,80.0,250,1,1,ranked 20,ranked 19
Io,160_sigmuid,0.17762507998649865,0.17762507998649865,2.0,257,0.2,0.17762507998649868,40.0,40.0,0.4,40.0,250,1,1,ranked 14,ranked 14
Io,180_sigmuid,0.10749055359819656,0.10749055359819656,4.0,257,0.2,0.10749055359819656,80.0,80.0,0.8,80.0,250,1,1,ranked 6,ranked 20
Io,200_sigmuid,0.07842684576217969,0.07842684576217969,4.0,257,0.2,0.07842684576217969,80.0,80.0,0.8,80.0,250,1,1,ranked 11,ranked 10
Io,220_sigmuid,0.14007448879521484,0.14007448879521484,3.0,257,0.2,0.14007448879521484,60.0,60.0,0.6,60.0,250,1,1,ranked 29,ranked 5
Io,240_sigmuid,0.20240671082738804,0.20240671082738804,1.0,257,0.2,0.20240671082738804,20.0,20.0,0.2,20.0,250,1,1,ranked 21,ranked 11
Io,260_sigmuid,0.15674345191705708,0.15674345191705708,3.0,257,0.2,0.15674345191705708,60.0,60.0,0.6,60.0,250,1,1,ranked 10,ranked 7
Io,280_sigmuid,0.1080702264120542,0.1080702264120542,4.0,257,0.2,0.1080702264120542,80.0,80.0,0.8,80.0,250,1,1,ranked 4,ranked 29
Io,300_sigmuid,0.20706279427471028,0.20706279427471028,1.0,257,0.2,0.20706279427471025,20.0,20.0,0.2,20.0,250,1,1,ranked 13,ranked 22
Io,320_sigmuid,0.14193421603333384,0.14193421603333384,3.0,257,0.2,0.14193421603333384,60.0,60.0,0.6,60.0,250,1,1,ranked 16,ranked 9
Io,340_sigmuid,0.15130816920691334,0.15130816920691334,2.0,257,0.2,0.15130816920691334,40.0,40.0,0.4,40.0,250,1,1,ranked 12,ranked 27
Io,360_sigmuid,0.21768855742907345,0.21768855742907345,1.0,257,0.2,0.21768855742907345,20.0,20.0,0.2,20.0,250,1,1,ranked 27,ranked 12
Io,380_sigmuid,0.1801950283811678,0.1801950283811678,2.0,257,0.2,0.1801950283811678,40.0,40.0,0.4,40.0,250,1,1,ranked 24,ranked 23
Io,400_sigmuid,0.14287506015947254,0.14287506015947254,3.0,257,0.2,0.14287506015947254,60.0,60.0,0.6,60.0,250,1,1,ranked 25,ranked 24
Io,420_sigmuid,0.21015272982964203,0.21015272982964203,1.0,257,0.2,0.210152729829642,20.0,20.0,0.2,20.0,250,1,1,ranked 23,ranked 13
Io,440_sigmuid,0.1686345372159785,0.1686345372159785,2.0,257,0.2,0.1686345372159785,40.0,40.0,0.4,40.0,250,1,1,ranked 19,ranked 25
Io,460_sigmuid,0.24757946248665735,0.24757946248665735,1.0,257,0.2,0.24757946248665735,20.0,20.0,0.2,20.0,250,1,1,ranked 15,ranked 18
Io,480_sigmuid,0.24480102760276937,0.24480102760276937,1.0,257,0.2,0.24480102760276937,20.0,20.0,0.2,20.0,250,1,1,ranked 22,ranked 16
Io,500_sigmuid,0.17628206238605099,0.17628206238605099,2.0,257,0.2,0.17628206238605099,40.0,40.0,0.4,40.0,250,1,1,ranked 18,ranked 21
Io,520_sigmuid,0.11330989634365929,0.11330989634365929,4.0,257,0.2,0.11330989634365929,80.0,80.0,0.8,80.0,250,1,1,ranked 5,ranked 30
Io,540_sigmuid,0.09143862042984348,0.09143862042984348,4.0,257,0.2,0.09143862042984348,80.0,80.0,0.8,80.0,250,1,1,ranked 9,ranked 28
Io,560_sigmuid,0.17149728629674296,0.17149728629674296,3.0,257,0.2,0.17149728629674296,60.0,60.0,0.6,60.0,250,1,1,ranked 30,ranked 15
Io,580_sigmuid,0.11445934969490579,0.11445934969490579,4.0,257,0.2,0.11445934969490579,80.0,80.0,0.8,80.0,250,1,1,ranked 28,ranked 17
Io,600_sigmuid,0.14467361802719275,0.14467361802719275,3.0,257,0.2,0.14467361802719275,60.0,60.0,0.6,60.0,250,1,1,ranked 26,ranked 26
