bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,8b47fc56a3a286d96dbd4537ea48efd65b9316c4,751e7bc1d5c85969189cfa223741db50ce1b1639,TEMP-755,https://issues.apache.org/jira/browse
2,cddc925ea8ec7b37d86df5a067a65035e0892d6e,a6f188edaf20796489f6fede3f4b25ffcf35956c,TEMP-755,https://issues.apache.org/jira/browse
3,6bb30b07e97876e832847bd4ec282cae19212e88,7ff44d7d702e0dc3fc17f2356885264cb8443325,TEMP-755,https://issues.apache.org/jira/browse
4,860ed6ba033e7b11ea257d1599e4f759d133d805,e043fb8ad1e7677cd888170100fae43ae24f66c1,TEMP-772,https://issues.apache.org/jira/browse
5,a6593edc56271073c820ac7628fbe8c03336d777,c59effc336d3167af55210e6098a213b361af4b6,TEMP-762,https://issues.apache.org/jira/browse
6,aa65025e251369f75acabf19dd42968a0e870e28,7f351abd9aa51e7bdb104d14bf8533decd3ee170,TEMP-762,https://issues.apache.org/jira/browse
7,ea1cbedd64cfe97fc98f6ef58baaae1125e0b0cd,64fb4dda76ecdebfd77ab4df5928f34e4b2dc486,TEMP-769,https://issues.apache.org/jira/browse
8,ac384c597cd79ae5bb7096b4458c62b4022879d7,ea1cbedd64cfe97fc98f6ef58baaae1125e0b0cd,TEMP-773,https://issues.apache.org/jira/browse
9,6320b11102599812b4d8915b7565750f16c1f619,d929d05991ca677efaedb3d51abacb40dd1464d0,TEMP-4,https://issues.apache.org/jira/browse
10,b7cde0ede67b438701e536b8dd8ff5b858c03364,6320b11102599812b4d8915b7565750f16c1f619,TEMP-4,https://issues.apache.org/jira/browse
11,5dfe7fa4e28cab0b2003d4bc3a3b430b0da78c44,a3f9c8e97a3463b76a2ccb0adaba246388244553,TEMP-4,https://issues.apache.org/jira/browse
12,7002bf2892c2f3c4108cac50671e2e98725adc12,dbf0cdf07a9e1db846c74133a1b7d1663cd8cf40,TEMP-764,https://issues.apache.org/jira/browse
13,a3f3f075253b0f3cbe714f3f4e4e78520d4d8e0d,7002bf2892c2f3c4108cac50671e2e98725adc12,TEMP-764,https://issues.apache.org/jira/browse
14,05d531ab18a349fce2cc3c93356912e96b3f04ac,6926849b1dcfa31d1e4c521c8554d66cca31d4ae,TEMP-343,https://issues.apache.org/jira/browse
15,c7cb67f5862b3b419c362285e9298955d328e965,9400501cfc581471017d65b0e6ca77299db9f5ba,TEMP-697,https://issues.apache.org/jira/browse
16,0a006a7b01a066165bd183b9a9126a32fe0591da,6a2c2c23f98a45e73fbc47f5c5a9fd432bc9ae34,TEMP-334,https://issues.apache.org/jira/browse
17,bcd5c9ba0cd1607b286ef0c116f119983e3f8a15,eb8b4fd88b246a363824880768e7ba5b194dfa76,TEMP-323,https://issues.apache.org/jira/browse
18,baf44e5d09fdc461ebd9701abae115cd28059319,bcd5c9ba0cd1607b286ef0c116f119983e3f8a15,TEMP-321,https://issues.apache.org/jira/browse
19,4810d9c57276b584942cf93ae297f10a12ab128c,b6a22186d8246d973c6dc9b7fd2aaa84f34cccbf,TEMP-484,https://issues.apache.org/jira/browse
20,750ec08f68fb45000d4f9c2592f43352bbb2e5f2,4810d9c57276b584942cf93ae297f10a12ab128c,TEMP-319,https://issues.apache.org/jira/browse
21,a6b9c68cd7f16d2bd4ec991436c9b31c6b17cf8c,31af606444524c8e16ed625490119bafa5f50962,TEMP-448,https://issues.apache.org/jira/browse
22,e5cf469caa6a77b5755576be12424c48dd6c7d83,975ccfcfb5b09450218dba2b08c8d150af11c202,TEMP-751,https://issues.apache.org/jira/browse
23,7ce5d730ce302eb88344e0996960e74009669b7b,e5cf469caa6a77b5755576be12424c48dd6c7d83,TEMP-751,https://issues.apache.org/jira/browse
24,1e9bea8536e5a62b7647f90a39492e90a40bdfbc,7ce5d730ce302eb88344e0996960e74009669b7b,TEMP-751,https://issues.apache.org/jira/browse
