method,project,MAP,MRR,TOP-K,average similarity
20_Topics,JxPath,0.05124412941482339,0.13634391362490006,0.3902886319373756,0.42834166666666673
40_Topics,JxPath,0.1130439262428687,0.2815240163438074,0.32569880675873825,0.34862333333333323
60_Topics,JxPath,0.04582348812396651,0.12978486431983233,0.3153489192499532,0.33178500000000005
80_Topics,JxPath,0.10795265029826222,0.3190619756776163,0.34215999240599043,0.37841833333333336
100_Topics,JxPath,0.09515851496912033,0.25810879919659374,0.36736278354741564,0.21832833333333332
120_Topics,JxPath,0.11183093646892077,0.3012078626835862,0.2722315335282425,0.24423499999999998
140_Topics,JxPath,0.09251908456922839,0.2746455211552517,0.3008143397574404,0.251545
160_Topics,JxPath,0.08019401067368917,0.23135259095447497,0.2916770056538571,0.19299166666666664
180_Topics,JxPath,0.11905604821944948,0.3199226724639155,0.32886863621790413,0.21522333333333332
200_Topics,JxPath,0.06950263384953956,0.2300740432249974,0.37261659657217905,0.22166500000000006
220_Topics,JxPath,0.08784064800546484,0.27031770214182005,0.24321284934061857,0.1961283333333333
240_Topics,JxPath,0.08819261899343883,0.3056328364996044,0.23849323562096916,0.19324166666666664
260_Topics,JxPath,0.09290331896496244,0.26234345224115424,0.3741742780903987,0.16891833333333328
280_Topics,JxPath,0.09534642596514616,0.28223567263319,0.32529938008988873,0.20969583333333336
300_Topics,JxPath,0.07510693802205094,0.2386392415079963,0.3152233468892791,0.18296166666666663
320_Topics,JxPath,0.08630993355081394,0.27131707702703883,0.2774350783051533,0.14963
340_Topics,JxPath,0.054965550841474684,0.14401347185629762,0.293299993042001,0.14409999999999995
360_Topics,JxPath,0.1010234581059845,0.29486833063636914,0.27739393525205824,0.159995
380_Topics,JxPath,0.055438333131832426,0.1530573669329693,0.2673889534570578,0.1711075
400_Topics,JxPath,0.07355545919136966,0.24686704952305413,0.2633269100835872,0.15171333333333334
420_Topics,JxPath,0.07506891521110995,0.21011450480951166,0.3554140327139202,0.16051166666666666
440_Topics,JxPath,0.10144528867805906,0.2733068848875574,0.2825781147880665,0.13937166666666667
460_Topics,JxPath,0.07360701100490309,0.26147725675836253,0.2678429341445163,0.16165666666666667
480_Topics,JxPath,0.07092236420987809,0.21356501682841067,0.35488121820681856,0.15968333333333332
500_Topics,JxPath,0.0877004739315482,0.2739149716120622,0.2624450480826851,0.14215416666666666
520_Topics,JxPath,0.09951183251376114,0.260096319328848,0.344846142843377,0.18277
540_Topics,JxPath,0.08426353396346241,0.2533013818405613,0.33330908440353013,0.15750333333333333
560_Topics,JxPath,0.08192317055234356,0.22420105704838678,0.26732547938954243,0.18846416666666665
580_Topics,JxPath,0.09386353850221635,0.30916561563261047,0.2674706197747784,0.13838166666666663
600_Topics,JxPath,0.05942663320785678,0.14116964977968666,0.2789622040214145,0.14794999999999997
