num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
20,JXPATH-12,4,2,0,55,201,"[0, 1, 22, 55]",0,1,159,"[0, 1]",0.99
20,JXPATH-50,2,1,32,51,201,"[51, 32]",43,43,159,[43],0.154
20,JXPATH-68,1,1,7,7,203,[7],6,6,160,[6],0.7
20,JXPATH-83,3,2,183,201,205,"[201, 183, 184]",141,157,161,"[157, 141]",0.0305
20,JXPATH-89,2,1,8,141,206,"[8, 141]",8,8,161,[8],0.978
20,JXPATH-94,2,1,99,123,208,"[123, 99]",99,99,163,[99],0.276
20,JXPATH-93,5,4,78,102,209,"[99, 100, 101, 102, 78]",72,75,164,"[72, 73, 74, 75]",0.135
20,JXPATH-95,2,1,44,53,209,"[53, 44]",43,43,164,[43],0.994
20,JXPATH-95,4,3,10,87,209,"[87, 10, 18, 44]",10,67,164,"[67, 10, 18]",0.9103333333333333
20,JXPATH-93,2,1,73,78,209,"[73, 78]",53,53,164,[53],0.142
20,JXPATH-97,3,2,4,42,210,"[6, 42, 4]",5,40,165,"[5, 40]",0.5795
20,JXPATH-97,3,2,1,168,211,"[2, 1, 168]",1,2,165,"[2, 1]",0.7464999999999999
20,JXPATH-97,6,5,1,46,211,"[5, 6, 2, 42, 1, 46]",1,40,165,"[4, 5, 2, 40, 1]",0.6729999999999999
20,JXPATH-102,2,1,125,142,212,"[142, 125]",110,110,165,[110],0.112
20,JXPATH-100,2,1,50,165,212,"[165, 50]",129,129,165,[129],0.086
20,JXPATH-114,3,2,53,185,214,"[65, 53, 185]",40,52,165,"[52, 40]",0.3305
20,JXPATH-109,4,2,110,185,214,"[185, 175, 134, 110]",129,138,165,"[138, 129]",0.303
20,JXPATH-115,2,1,9,76,214,"[76, 9]",70,70,165,[70],0.263
20,JXPATH-149,1,1,169,169,222,[169],128,128,168,[128],0.038
20,JXPATH-151,3,2,43,141,223,"[46, 43, 141]",19,21,168,"[21, 19]",0.1255
40,JXPATH-12,4,2,1,7,201,"[2, 1, 3, 7]",0,1,159,"[1, 0]",0.8005
40,JXPATH-50,2,1,9,44,201,"[44, 9]",37,37,159,[37],0.37
40,JXPATH-68,1,1,13,13,203,[13],12,12,160,[12],0.888
40,JXPATH-83,3,2,157,163,205,"[157, 163, 158]",142,145,161,"[142, 145]",0.0095
40,JXPATH-89,2,1,1,180,206,"[1, 180]",1,1,161,[1],0.977
40,JXPATH-94,2,1,52,74,208,"[74, 52]",64,64,163,[64],0.067
40,JXPATH-93,5,4,14,115,209,"[105, 114, 106, 115, 14]",96,104,164,"[96, 103, 97, 104]",0.1325
40,JXPATH-95,2,1,1,3,209,"[3, 1]",1,1,164,[1],0.375
