project,method,method topics,method topics values,metric,metric regular topics,regular topics values,Kendall Tau value,RBO,diff between first method and regular first,diff between first method and regular second,diff between first method and regular third,diff between second method and regular first,diff between third method and regular first,diff between forth method and regular first,diff between fifth method and regular first
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",precision,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",recall,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",wasted,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",f-score,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",expense,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",t-score,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cost,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,MRR,"['60', '20', '600', '340', '380', '420', '480', '560', '200', '160', '300', '400', '540', '100', '520', '460', '260', '220', '320', '440', '500', '140', '40', '280', '360', '120', '240', '580', '80', '180']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",exam-score,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.04827586206896552,0.43108334081489413,0,0,0,0,0,0,0
JxPath,average similarity,"['20', '80', '40', '60', '140', '120', '200', '100', '180', '280', '220', '240', '160', '560', '300', '520', '380', '260', '460', '420', '360', '480', '540', '400', '320', '600', '340', '500', '440', '580']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",precision,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5540229885057472,0.8486165716693722,0,0,0,0,0,0,0
JxPath,average similarity,"['20', '80', '40', '60', '140', '120', '200', '100', '180', '280', '220', '240', '160', '560', '300', '520', '380', '260', '460', '420', '360', '480', '540', '400', '320', '600', '340', '500', '440', '580']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",recall,"['20', '40', '60', '80', '100', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '500', '520', '540', '560', '580', '600']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5540229885057472,0.8486165716693722,0,0,0,0,0,0,0
