method,project,MAP,MRR,TOP-K,average similarity
20_Topics,Lang,0.206944444,0.635714286,0.145211931,0.915785714
40_Topics,Lang,0.262698413,0.791666667,0.069466248,0.962928571
60_Topics,Lang,0.233560091,0.676870748,0.093175732,0.863642857
80_Topics,Lang,0.243282313,0.711989796,0.153061224,0.783785714
100_Topics,Lang,0.25,0.75,0.093014129,0.780357143
120_Topics,Lang,0.248015873,0.738095238,0.085164835,0.884571429
140_Topics,Lang,0.25,0.755952381,0.095761381,0.699964286
160_Topics,Lang,0.216269841,0.648809524,0.090659341,0.807785714
180_Topics,Lang,0.25,0.726190476,0.058869702,0.890714286
200_Topics,Lang,0.24484127,0.716666667,0.085949765,0.757214286
220_Topics,Lang,0.253968254,0.761904762,0.059262166,0.82375
240_Topics,Lang,0.270634921,0.776190476,0.064364207,0.59175
260_Topics,Lang,0.261904762,0.779761905,0.061386093,0.717142857
280_Topics,Lang,0.259920635,0.75,0.064756672,0.865214286
300_Topics,Lang,0.238095238,0.702380952,0.10321821,0.635107143
320_Topics,Lang,0.259920635,0.803571429,0.059654631,0.849035714
340_Topics,Lang,0.25,0.730952381,0.096546311,0.815392857
360_Topics,Lang,0.244047619,0.732142857,0.070643642,0.841428571
380_Topics,Lang,0.251984127,0.738095238,0.064756672,0.773142857
400_Topics,Lang,0.246428571,0.742857143,0.102825746,0.826321429
420_Topics,Lang,0.271825397,0.821428571,0.058084772,0.77025
440_Topics,Lang,0.257936508,0.738095238,0.064756672,0.867035714
460_Topics,Lang,0.283730159,0.81547619,0.052590267,0.701928571
480_Topics,Lang,0.248015873,0.720238095,0.090659341,0.702857143
500_Topics,Lang,0.251984127,0.738095238,0.091836735,0.64925
520_Topics,Lang,0.199404762,0.601190476,0.089366516,0.934964286
540_Topics,Lang,0.226984127,0.663095238,0.117346939,0.735428571
560_Topics,Lang,0.231179138,0.707142857,0.135007849,0.740821429
580_Topics,Lang,0.293650794,0.875,0.043171115,0.691357143
600_Topics,Lang,0.251984127,0.744047619,0.070251177,0.753571429
