project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Lang,original,0.5,0.5,1,96,1,0.5,50,50,0.5,50,2,1,1
Lang,original,0,0,5,219,1,0,100,100,1,100,15,1,1
Lang,original,0,0,5,168,1,0,100,100,1,100,13,2,1
Lang,original,0,0,5,122,1,0,100,100,1,100,11,1,1
Lang,original,0,0,5,112,1,0,100,100,1,100,7,1,1
Lang,original,0,0,5,106,1,0,100,100,1,100,5,1,1
Lang,original,0.055572174,0.055572174,1,118,1,0.055572174,20,20,0.2,20,9,1,1
Lang,original,0,0,5,171,1,0,100,100,1,100,14,1,1
Lang,original,0,0,5,120,1,0,100,100,1,100,10,2,2
Lang,original,1,1,0,100,1,1,0,0,0,0,4,1,1
