project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Lang,20_sigmuid,0.479138737,0.479138737,1,96,0.2,0.479138737,50,50,0.5,50,2,1,1,ranked 2,ranked 3
Lang,40_sigmuid,0.481348129,0.481348129,1,96,0.2,0.481348129,50,50,0.5,50,2,1,1,ranked 26,ranked 1
Lang,60_sigmuid,0.645118037,0.645118037,0,96,0.2,0.645118037,0,0,0,0,2,1,1,ranked 5,ranked 8
Lang,80_sigmuid,0.610929684,0.610929684,0,96,0.2,0.610929684,0,0,0,0,2,1,1,ranked 8,ranked 15
Lang,100_sigmuid,0.578001893,0.578001893,0,96,0.2,0.578001893,0,0,0,0,2,1,1,ranked 20,ranked 16
Lang,120_sigmuid,0.923926247,0.923926247,0,96,0.2,0.923926247,0,0,0,0,2,1,1,ranked 14,ranked 5
Lang,140_sigmuid,0.596518804,0.596518804,0,96,0.2,0.596518804,0,0,0,0,2,1,1,ranked 22,ranked 26
Lang,160_sigmuid,0.54514434,0.54514434,0,96,0.2,0.54514434,0,0,0,0,2,1,1,ranked 3,ranked 14
Lang,180_sigmuid,0.652174851,0.652174851,0,96,0.2,0.652174851,0,0,0,0,2,1,1,ranked 11,ranked 4
Lang,200_sigmuid,0.45323373,0.45323373,1,96,0.2,0.45323373,50,50,0.5,50,2,1,1,ranked 9,ranked 19
Lang,220_sigmuid,0.776619223,0.776619223,0,96,0.2,0.776619223,0,0,0,0,2,1,1,ranked 23,ranked 12
Lang,240_sigmuid,0.4812337,0.4812337,1,96,0.2,0.4812337,50,50,0.5,50,2,1,1,ranked 24,ranked 30
Lang,260_sigmuid,0.731117132,0.731117132,0,96,0.2,0.731117132,0,0,0,0,2,1,1,ranked 25,ranked 23
Lang,280_sigmuid,0.573103305,0.573103305,0,96,0.2,0.573103305,0,0,0,0,2,1,1,ranked 21,ranked 7
Lang,300_sigmuid,0.608769403,0.608769403,0,96,0.2,0.608769403,0,0,0,0,2,1,1,ranked 6,ranked 29
Lang,320_sigmuid,0.882142968,0.882142968,0,96,0.2,0.882142968,0,0,0,0,2,1,1,ranked 27,ranked 9
Lang,340_sigmuid,0.467271539,0.467271539,1,96,0.2,0.467271539,50,50,0.5,50,2,1,1,ranked 12,ranked 13
Lang,360_sigmuid,0.647663811,0.647663811,0,96,0.2,0.647663811,0,0,0,0,2,1,1,ranked 13,ranked 10
Lang,380_sigmuid,0.507801959,0.507801959,0,96,0.2,0.507801959,0,0,0,0,2,1,1,ranked 15,ranked 17
Lang,400_sigmuid,0.761674135,0.761674135,0,96,0.2,0.761674135,0,0,0,0,2,1,1,ranked 18,ranked 11
Lang,420_sigmuid,0.828688782,0.828688782,0,96,0.2,0.828688782,0,0,0,0,2,1,1,ranked 29,ranked 18
Lang,440_sigmuid,0.501560047,0.501560047,0,96,0.2,0.501560047,0,0,0,0,2,1,1,ranked 16,ranked 6
Lang,460_sigmuid,0.557129022,0.557129022,0,96,0.2,0.557129022,0,0,0,0,2,1,1,ranked 28,ranked 25
Lang,480_sigmuid,0.609221871,0.609221871,0,96,0.2,0.609221871,0,0,0,0,2,1,1,ranked 10,ranked 24
Lang,500_sigmuid,0.571561133,0.571561133,0,96,0.2,0.571561133,0,0,0,0,2,1,1,ranked 17,ranked 28
Lang,520_sigmuid,0.503126034,0.503126034,0,96,0.2,0.503126034,0,0,0,0,2,1,1,ranked 1,ranked 2
Lang,540_sigmuid,0.636707011,0.636707011,0,96,0.2,0.636707011,0,0,0,0,2,1,1,ranked 4,ranked 22
Lang,560_sigmuid,0.455164251,0.455164251,1,96,0.2,0.455164251,50,50,0.5,50,2,1,1,ranked 7,ranked 21
Lang,580_sigmuid,0.563903098,0.563903098,0,96,0.2,0.563903098,0,0,0,0,2,1,1,ranked 30,ranked 27
