method,project,MAP,MRR,TOP-K,average similarity
BugLocator,Net,0.026708883419184017,0.09969617182927247,0.5346528117053266,0.13944887690583338
20_Topics,Net,0.07526000846961718,0.24373408399123642,0.15813504013866717,0.6147161556860183
40_Topics,Net,0.06355543683030597,0.20608459523333675,0.1556992160950262,0.5121246881733184
60_Topics,Net,0.08797042259837778,0.2728781731467234,0.12446871043065436,0.43041179406590335
80_Topics,Net,0.11683388084696007,0.36558492407041054,0.13464856981459591,0.4643340963450554
100_Topics,Net,0.08713963171190432,0.2763483855233398,0.1411706605933519,0.39379927059242104
120_Topics,Net,0.10149661230792069,0.32524858088903197,0.12740201943067994,0.3998740496945979
140_Topics,Net,0.10490852292990914,0.3342586391841141,0.1589957439454042,0.4061544485955444
160_Topics,Net,0.08332288563111605,0.2746795090259346,0.17133028286333746,0.34932839550099826
180_Topics,Net,0.0928289445459883,0.2996410352235297,0.14305411827644887,0.3608931101622884
200_Topics,Net,0.09360839727717446,0.2986270334546159,0.14993136725953132,0.3585481863646247
220_Topics,Net,0.12067068937055234,0.3834267758055871,0.1272403545015771,0.332730562968234
240_Topics,Net,0.10397008311567234,0.32237552391211577,0.1585440268272413,0.3376461780228902
260_Topics,Net,0.1048545084027534,0.33359027264841606,0.1493676610172412,0.3463196317381247
280_Topics,Net,0.08848328853705921,0.2927131697346351,0.14196054501606115,0.34960090533515203
300_Topics,Net,0.10537468769671927,0.3338916311224028,0.15367981498438943,0.3554179327521791
320_Topics,Net,0.1306711806753152,0.4109364065328746,0.14131194070809927,0.37329373480400857
340_Topics,Net,0.11623295198500427,0.357444203160369,0.148363440690714,0.34439081618533673
360_Topics,Net,0.08669503476026037,0.27423418159672014,0.15443921547041498,0.32179296487378695
380_Topics,Net,0.08990834431305397,0.28465574509642566,0.1438678307992962,0.3357642580402857
400_Topics,Net,0.10377515517638448,0.3315042570033331,0.15142825783086064,0.27986951708869534
420_Topics,Net,0.10138550240880163,0.3344248026705854,0.15656958434799667,0.3257973462610452
440_Topics,Net,0.1171548693330199,0.37369219459060554,0.1364140948550282,0.377168594951472
460_Topics,Net,0.09979542757191039,0.3168028723840372,0.1425565210324189,0.34557177350807505
480_Topics,Net,0.10571893855247652,0.33454397155378074,0.1582425677400243,0.29268432959734336
500_Topics,Net,0.11174825428813011,0.3573854620951566,0.15044205392257767,0.3549023918243092
520_Topics,Net,0.10913624309167957,0.3469595732838625,0.13088408965597342,0.3266893702188223
540_Topics,Net,0.12074734447828497,0.37969957215289857,0.13922212160971476,0.3558689458182608
560_Topics,Net,0.10606715524133678,0.3281800169461794,0.15469039787519542,0.31787023463598807
580_Topics,Net,0.10588749166607714,0.3258111449762364,0.15343769294263465,0.3218698798157703
600_Topics,Net,0.11037864256031113,0.3553665923037401,0.15434101367401687,0.3484708602660655
BRTracer,Net,0.025679890807796635,0.09445163873507818,0.5134356239617975,0.12919259049875
