project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,original,6.075012829771986e-56,6.075012829771986e-56,2.0,444,1,6.075012829771986e-56,40.0,40.0,0.4,40.0,135,1,1
Net,original,0.0,0.0,5,566,1,0,100,100,1.0,100,70,1,3
Net,original,0.0,0.0,5,631,1,0,100,100,1.0,100,33,1,1
Net,original,0.9998785145038483,0.9998785145038483,0.0,551,1,0.9998785145038483,0.0,0.0,0.0,0.0,78,1,1
Net,original,0.0,0.0,5,339,1,0,100,100,1.0,100,194,1,2
Net,original,0.0,0.0,7,483,1,0,100,100,1.0,100,121,1,3
Net,original,0.0,0.0,5,516,1,0,100,100,1.0,100,93,1,1
Net,original,0.0,0.0,5,211,1,0,100,100,1.0,100,247,1,1
Net,original,0.3327617665741042,0.3327617665741042,0.0,624,1,0.3327617665741042,0.0,0.0,0.0,0.0,39,1,1
Net,original,0.732142857142857,0.24999999999999994,1.6666666666666667,261,1,0.37272727272727263,27.77777777777777,27.77777777777777,0.27777777777777773,0.0,220,1,3
Net,original,0.0,0.0,5,597,1,0,100,100,1.0,100,52,1,2
Net,original,4.0499997813000144e-08,4.0499997813000144e-08,3.5,550,1,4.0499997813000144e-08,58.33333333333333,58.33333333333333,0.5833333333333333,50.0,76,1,2
Net,original,0.25,0.25,3.0,511,1,0.25,75.0,75.0,0.75,75.0,100,1,1
Net,original,0.022222222222222223,0.022222222222222223,3.0,566,1,0.022222222222222223,60.0,60.0,0.6,60.0,69,3,4
