project,real bug diagnose sim,unreal bug diagnose sim,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,0.8,0,0.8745078719754165,0.8745078719754165,0.0,444,0.2,0.8745078719754165,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.1,0.7887262970270087,0.7887262970270087,0.0,444,0.2,0.7887262970270087,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.2,0.6696634809702777,0.6696634809702777,0.0,444,0.2,0.6696634809702777,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.3,0.5300174775249101,0.5300174775249101,0.0,444,0.2,0.5300174775249101,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.4,0.3881214516719491,0.3881214516719491,0.0,444,0.2,0.3881214516719491,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.5,0.2827131819574496,0.2827131819574496,0.0,444,0.2,0.2827131819574496,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.6,0.21098480437062,0.21098480437062,0.0,444,0.2,0.21098480437062,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.7,0.1670082102952206,0.1670082102952206,0.0,444,0.2,0.1670082102952206,0.0,0.0,0.0,0.0,135,1,1
Net,0.8,0.8,0.14174825280929415,0.14174825280929415,4.0,444,0.2,0.14174825280929415,80.0,80.0,0.8,80.0,135,1,1
Net,0.8,0.9,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.8,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,0.9,0,0.8874591445071761,0.8874591445071761,0.0,444,0.2,0.8874591445071761,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.1,0.808592869271718,0.808592869271718,0.0,444,0.2,0.808592869271718,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.2,0.6964165276320875,0.6964165276320875,0.0,444,0.2,0.6964165276320875,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.3,0.5606603251790047,0.5606603251790047,0.0,444,0.2,0.5606603251790047,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.4,0.41785438678984455,0.41785438678984455,0.0,444,0.2,0.41785438678984455,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.5,0.30844161957585264,0.30844161957585264,0.0,444,0.2,0.30844161957585264,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.6,0.2322996132947959,0.2322996132947959,0.0,444,0.2,0.2322996132947959,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.7,0.18492151682435526,0.18492151682435526,0.0,444,0.2,0.18492151682435523,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.8,0.1574643429529145,0.1574643429529145,0.0,444,0.2,0.1574643429529145,0.0,0.0,0.0,0.0,135,1,1
Net,0.9,0.9,0.14220770850995593,0.14220770850995593,4.0,444,0.2,0.14220770850995593,80.0,80.0,0.8,80.0,135,1,1
Net,0.9,1,0.0,0.0,5,444,0.2,0,100,100,1.0,100,135,1,1
Net,1,0,0.8944439348404394,0.8944439348404394,0.0,444,0.2,0.8944439348404394,0.0,0.0,0.0,0.0,135,1,1
Net,1,0.1,0.819476775755149,0.819476775755149,0.0,444,0.2,0.819476775755149,0.0,0.0,0.0,0.0,135,1,1
Net,1,0.2,0.711402451432232,0.711402451432232,0.0,444,0.2,0.7114024514322319,0.0,0.0,0.0,0.0,135,1,1
Net,1,0.3,0.5782896584808279,0.5782896584808279,0.0,444,0.2,0.5782896584808279,0.0,0.0,0.0,0.0,135,1,1
Net,1,0.4,0.4354439024549555,0.4354439024549555,0.0,444,0.2,0.4354439024549555,0.0,0.0,0.0,0.0,135,1,1
Net,1,0.5,0.32398869643327405,0.32398869643327405,0.0,444,0.2,0.32398869643327405,0.0,0.0,0.0,0.0,135,1,1
Net,1,0.6,0.2453704712433885,0.2453704712433885,0.0,444,0.2,0.2453704712433885,0.0,0.0,0.0,0.0,135,1,1
