project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Net,BRTracer,0.1392998851174659,0.1392998851174659,4.0,444,0.2,0.1392998851174659,80.0,80.0,0.8,80.0,135,1,1,BRTracer,BRTracer
Net,BRTracer,0.9372693030935371,0.9372693030935371,0.0,551,0.2,0.9372693030935371,0.0,0.0,0.0,0.0,78,1,1,BRTracer,BRTracer
Net,BRTracer,0.12505622148429002,0.12505622148429002,0.0,624,0.2,0.12505622148429002,0.0,0.0,0.0,0.0,39,1,1,BRTracer,BRTracer
Net,BRTracer,0.7452296564505254,0.2544686631782282,1.6666666666666667,261,0.2,0.3793896432839038,27.77777777777777,27.77777777777777,0.27777777777777773,0.0,220,1,3,BRTracer,BRTracer
Net,BRTracer,0.10947229235084041,0.10947229235084041,3.5,550,0.2,0.10947229235084041,58.33333333333333,58.33333333333333,0.5833333333333333,50.0,76,1,2,BRTracer,BRTracer
Net,BRTracer,0.249999965631722,0.249999965631722,3.0,511,0.2,0.249999965631722,75.0,75.0,0.75,75.0,100,1,1,BRTracer,BRTracer
Net,original,6.075012829771986e-56,6.075012829771986e-56,2.0,444,1,6.075012829771986e-56,40.0,40.0,0.4,40.0,135,1,1,original,original
Net,original,0.9998785145038483,0.9998785145038483,0.0,551,1,0.9998785145038483,0.0,0.0,0.0,0.0,78,1,1,original,original
Net,original,0.3327617665741042,0.3327617665741042,0.0,624,1,0.3327617665741042,0.0,0.0,0.0,0.0,39,1,1,original,original
Net,original,0.732142857142857,0.24999999999999994,1.6666666666666667,261,1,0.37272727272727263,27.77777777777777,27.77777777777777,0.27777777777777773,0.0,220,1,3,original,original
Net,original,4.0499997813000144e-08,4.0499997813000144e-08,3.5,550,1,4.0499997813000144e-08,58.33333333333333,58.33333333333333,0.5833333333333333,50.0,76,1,2,original,original
Net,original,0.25,0.25,3.0,511,1,0.25,75.0,75.0,0.75,75.0,100,1,1,original,original
Net,BugLocator,0.13925688990711052,0.13925688990711052,4.0,444,0.2,0.13925688990711052,80.0,80.0,0.8,80.0,135,1,1,BugLocator,BugLocator
