project,method,method topics,method topics values,metric,metric regular topics,regular topics values,Kendall Tau value,RBO,diff between first method and regular first,diff between first method and regular second,diff between first method and regular third,diff between second method and regular first,diff between third method and regular first,diff between forth method and regular first,diff between fifth method and regular first
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.206, 0.142, 0.134, 0.188, 0.181, 0.142, 0.123, 0.138, 0.154, 0.182, 0.187, 0.158, 0.147, 0.19, 0.178, 0.171, 0.178, 0.131, 0.132, 0.183, 0.202, 0.188, 0.129, 0.172, 0.191, 0.155, 0.137, 0.164, 0.136, 0.123]",precision,"['40', '480', '340', '580', '520', '360', '460', '420', '180', '160', '560', '260', '500', '400', '540', '240', '80', '200', '120', '100', '20', '280', '440', '220', '60', '140', '300', '600', '320', '380']","[0.206, 0.202, 0.191, 0.19, 0.188, 0.188, 0.187, 0.183, 0.182, 0.181, 0.178, 0.178, 0.172, 0.171, 0.164, 0.158, 0.155, 0.154, 0.147, 0.142, 0.142, 0.138, 0.137, 0.136, 0.134, 0.132, 0.131, 0.129, 0.123, 0.123]",0.006896551724137931,0.4979335574777629,0.0,-0.003999999999999976,-0.014999999999999986,0.064,0.07199999999999998,0.017999999999999988,0.024999999999999994
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.171, 0.108, 0.097, 0.142, 0.134, 0.103, 0.082, 0.098, 0.112, 0.139, 0.143, 0.121, 0.107, 0.145, 0.14, 0.128, 0.132, 0.09, 0.097, 0.141, 0.157, 0.145, 0.09, 0.126, 0.147, 0.116, 0.097, 0.122, 0.097, 0.084]",recall,"['40', '480', '340', '520', '580', '460', '360', '420', '560', '180', '160', '260', '400', '500', '540', '240', '80', '200', '20', '120', '100', '280', '220', '60', '440', '140', '300', '600', '320', '380']","[0.171, 0.157, 0.147, 0.145, 0.145, 0.143, 0.142, 0.141, 0.14, 0.139, 0.134, 0.132, 0.128, 0.126, 0.122, 0.121, 0.116, 0.112, 0.108, 0.107, 0.103, 0.098, 0.097, 0.097, 0.097, 0.097, 0.09, 0.09, 0.084, 0.082]",-0.13563218390804596,0.48458714167608175,0.0,-0.014000000000000012,-0.02400000000000002,0.06300000000000001,0.07400000000000001,0.029000000000000026,0.037000000000000005
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[3.298, 3.036, 3.679, 2.845, 2.714, 3.893, 3.464, 3.607, 3.464, 2.857, 2.75, 3.607, 3.536, 2.929, 3.321, 3.393, 3.274, 3.75, 3.25, 3.0, 2.571, 2.5, 3.893, 3.071, 2.821, 3.036, 3.964, 3.393, 3.821, 3.893]",wasted,"['520', '480', '160', '460', '340', '360', '180', '580', '420', '80', '20', '500', '140', '260', '40', '560', '400', '540', '380', '200', '120', '240', '280', '60', '300', '220', '100', '320', '600', '440']","[2.5, 2.571, 2.714, 2.75, 2.821, 2.845, 2.857, 2.929, 3.0, 3.036, 3.036, 3.071, 3.25, 3.274, 3.298, 3.321, 3.393, 3.393, 3.464, 3.464, 3.536, 3.607, 3.607, 3.679, 3.75, 3.821, 3.893, 3.893, 3.893, 3.964]",-0.23218390804597702,0.30349433087931416,-0.798,-0.7269999999999999,-0.5840000000000001,-0.536,-1.1789999999999998,-0.3450000000000002,-0.21399999999999997
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.18, 0.117, 0.107, 0.154, 0.147, 0.113, 0.093, 0.109, 0.123, 0.15, 0.155, 0.131, 0.117, 0.157, 0.15, 0.14, 0.144, 0.101, 0.106, 0.152, 0.169, 0.156, 0.1, 0.139, 0.159, 0.127, 0.107, 0.133, 0.108, 0.095]",f-score,"['40', '480', '340', '580', '520', '460', '360', '420', '180', '560', '160', '260', '400', '500', '540', '240', '80', '200', '20', '120', '100', '280', '220', '440', '60', '140', '300', '600', '320', '380']","[0.18, 0.169, 0.159, 0.157, 0.156, 0.155, 0.154, 0.152, 0.15, 0.15, 0.147, 0.144, 0.14, 0.139, 0.133, 0.131, 0.127, 0.123, 0.117, 0.117, 0.113, 0.109, 0.108, 0.107, 0.107, 0.106, 0.101, 0.1, 0.095, 0.093]",-0.14942528735632182,0.48421785258776295,0.0,-0.010999999999999982,-0.02099999999999999,0.06299999999999999,0.073,0.025999999999999995,0.033
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[55.794, 57.857, 69.643, 52.897, 50.357, 73.929, 66.429, 61.071, 61.071, 53.571, 51.071, 68.214, 62.5, 54.643, 62.5, 59.643, 58.611, 70.357, 62.143, 56.071, 47.5, 46.429, 71.429, 57.857, 45.357, 56.786, 75.714, 64.286, 72.857, 73.929]",expense,"['340', '520', '480', '160', '460', '360', '180', '580', '40', '420', '80', '20', '500', '260', '400', '200', '280', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[45.357, 46.429, 47.5, 50.357, 51.071, 52.897, 53.571, 54.643, 55.794, 56.071, 56.786, 57.857, 57.857, 58.611, 59.643, 61.071, 61.071, 62.143, 62.5, 62.5, 64.286, 66.429, 68.214, 69.643, 70.357, 71.429, 72.857, 73.929, 73.929, 75.714]",0.0574712643678161,0.3240072778270529,-10.436999999999998,-9.364999999999995,-8.293999999999997,-12.5,-24.286,-7.539999999999999,-5.0
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[55.794, 57.857, 69.643, 52.897, 50.357, 73.929, 66.429, 61.071, 61.071, 53.571, 51.071, 68.214, 62.5, 54.643, 62.5, 59.643, 58.611, 70.357, 62.143, 56.071, 47.5, 46.429, 71.429, 57.857, 45.357, 56.786, 75.714, 64.286, 72.857, 73.929]",t-score,"['340', '520', '480', '160', '460', '360', '180', '580', '40', '420', '80', '20', '500', '260', '400', '200', '280', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[45.357, 46.429, 47.5, 50.357, 51.071, 52.897, 53.571, 54.643, 55.794, 56.071, 56.786, 57.857, 57.857, 58.611, 59.643, 61.071, 61.071, 62.143, 62.5, 62.5, 64.286, 66.429, 68.214, 69.643, 70.357, 71.429, 72.857, 73.929, 73.929, 75.714]",0.0574712643678161,0.3240072778270529,-10.436999999999998,-9.364999999999995,-8.293999999999997,-12.5,-24.286,-7.539999999999999,-5.0
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[0.558, 0.579, 0.696, 0.529, 0.504, 0.739, 0.664, 0.611, 0.611, 0.536, 0.511, 0.682, 0.625, 0.546, 0.625, 0.596, 0.586, 0.704, 0.621, 0.561, 0.475, 0.464, 0.714, 0.579, 0.454, 0.568, 0.757, 0.643, 0.729, 0.739]",cost,"['340', '520', '480', '160', '460', '360', '180', '580', '40', '420', '80', '20', '500', '260', '400', '280', '200', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[0.454, 0.464, 0.475, 0.504, 0.511, 0.529, 0.536, 0.546, 0.558, 0.561, 0.568, 0.579, 0.579, 0.586, 0.596, 0.611, 0.611, 0.621, 0.625, 0.625, 0.643, 0.664, 0.682, 0.696, 0.704, 0.714, 0.729, 0.739, 0.739, 0.757]",0.06206896551724138,0.3240072778270529,-0.10400000000000004,-0.09400000000000003,-0.08300000000000007,-0.12499999999999994,-0.24199999999999994,-0.07500000000000001,-0.04999999999999999
Net,MRR,"['40', '20', '60', '360', '160', '100', '380', '280', '200', '180', '460', '240', '120', '580', '560', '400', '260', '300', '140', '420', '480', '520', '600', '500', '340', '80', '440', '540', '220', '320']","[53.214, 56.071, 67.857, 49.286, 47.857, 72.143, 63.214, 59.286, 59.286, 51.071, 47.857, 66.429, 60.714, 52.143, 60.714, 57.857, 56.429, 68.571, 60.357, 53.571, 45.0, 43.929, 69.643, 55.357, 43.571, 55.0, 73.929, 61.071, 71.071, 72.143]",exam-score,"['340', '520', '480', '460', '160', '360', '180', '580', '40', '420', '80', '500', '20', '260', '400', '200', '280', '140', '120', '560', '540', '380', '240', '60', '300', '600', '220', '100', '320', '440']","[43.571, 43.929, 45.0, 47.857, 47.857, 49.286, 51.071, 52.143, 53.214, 53.571, 55.0, 55.357, 56.071, 56.429, 57.857, 59.286, 59.286, 60.357, 60.714, 60.714, 61.071, 63.214, 66.429, 67.857, 68.571, 69.643, 71.071, 72.143, 72.143, 73.929]",0.15862068965517243,0.3213921895263029,-9.643,-9.284999999999997,-8.213999999999999,-12.5,-24.286,-5.715000000000003,-4.286000000000001
Net,average similarity,"['20', '40', '80', '60', '140', '120', '100', '440', '320', '180', '200', '540', '300', '500', '280', '160', '600', '260', '460', '340', '240', '380', '220', '520', '420', '580', '360', '560', '480', '400']","[0.142, 0.206, 0.155, 0.134, 0.132, 0.147, 0.142, 0.137, 0.123, 0.182, 0.154, 0.164, 0.131, 0.172, 0.138, 0.181, 0.129, 0.178, 0.187, 0.191, 0.158, 0.123, 0.136, 0.188, 0.183, 0.19, 0.188, 0.178, 0.202, 0.171]",precision,"['40', '480', '340', '580', '520', '360', '460', '420', '180', '160', '560', '260', '500', '400', '540', '240', '80', '200', '120', '100', '20', '280', '440', '220', '60', '140', '300', '600', '320', '380']","[0.206, 0.202, 0.191, 0.19, 0.188, 0.188, 0.187, 0.183, 0.182, 0.181, 0.178, 0.178, 0.172, 0.171, 0.164, 0.158, 0.155, 0.154, 0.147, 0.142, 0.142, 0.138, 0.137, 0.136, 0.134, 0.132, 0.131, 0.129, 0.123, 0.123]",0.04827586206896552,0.30796008741401437,0.064,0.060000000000000026,0.049000000000000016,0.0,0.05099999999999999,0.07199999999999998,0.07399999999999998
Net,average similarity,"['20', '40', '80', '60', '140', '120', '100', '440', '320', '180', '200', '540', '300', '500', '280', '160', '600', '260', '460', '340', '240', '380', '220', '520', '420', '580', '360', '560', '480', '400']","[0.108, 0.171, 0.116, 0.097, 0.097, 0.107, 0.103, 0.097, 0.084, 0.139, 0.112, 0.122, 0.09, 0.126, 0.098, 0.134, 0.09, 0.132, 0.143, 0.147, 0.121, 0.082, 0.097, 0.145, 0.141, 0.145, 0.142, 0.14, 0.157, 0.128]",recall,"['40', '480', '340', '520', '580', '460', '360', '420', '560', '180', '160', '260', '400', '500', '540', '240', '80', '200', '20', '120', '100', '280', '220', '60', '440', '140', '300', '600', '320', '380']","[0.171, 0.157, 0.147, 0.145, 0.145, 0.143, 0.142, 0.141, 0.14, 0.139, 0.134, 0.132, 0.128, 0.126, 0.122, 0.121, 0.116, 0.112, 0.108, 0.107, 0.103, 0.098, 0.097, 0.097, 0.097, 0.097, 0.09, 0.09, 0.084, 0.082]",0.18160919540229886,0.30796008741401437,0.06300000000000001,0.049,0.03899999999999999,0.0,0.05500000000000001,0.07400000000000001,0.07400000000000001
