project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,20_sigmuid,0.16354922348541748,0.16354922348541748,1.0,444,0.2,0.16354922348541748,20.0,20.0,0.2,20.0,135,1,1
Net,40_sigmuid,0.7920700607628839,0.7920700607628839,0.0,444,0.2,0.7920700607628839,0.0,0.0,0.0,0.0,135,1,1
Net,60_sigmuid,0.021746777016602496,0.021746777016602496,2.0,444,0.2,0.021746777016602496,40.0,40.0,0.4,40.0,135,1,1
Net,80_sigmuid,0.15987503124670477,0.15987503124670477,3.0,444,0.2,0.15987503124670477,60.0,60.0,0.6,60.0,135,1,1
Net,100_sigmuid,0.15924530197501827,0.15924530197501827,3.0,444,0.2,0.15924530197501827,60.0,60.0,0.6,60.0,135,1,1
Net,120_sigmuid,0.15849142236394678,0.15849142236394678,0.0,444,0.2,0.15849142236394678,0.0,0.0,0.0,0.0,135,1,1
Net,140_sigmuid,0.018660910212542636,0.018660910212542636,3.0,444,0.2,0.018660910212542636,60.0,60.0,0.6,60.0,135,1,1
Net,160_sigmuid,0.16500652660958381,0.16500652660958381,2.0,444,0.2,0.16500652660958381,40.0,40.0,0.4,40.0,135,1,1
Net,180_sigmuid,0.17994978491499425,0.17994978491499425,3.0,444,0.2,0.17994978491499422,60.0,60.0,0.6,60.0,135,1,1
Net,200_sigmuid,0.19079253719893371,0.19079253719893371,3.0,444,0.2,0.19079253719893371,60.0,60.0,0.6,60.0,135,1,1
Net,220_sigmuid,0.17070815364919345,0.17070815364919345,3.0,444,0.2,0.17070815364919345,60.0,60.0,0.6,60.0,135,1,1
Net,240_sigmuid,0.14322827488191517,0.14322827488191517,3.0,444,0.2,0.14322827488191517,60.0,60.0,0.6,60.0,135,1,1
Net,260_sigmuid,0.1645294889424641,0.1645294889424641,3.0,444,0.2,0.1645294889424641,60.0,60.0,0.6,60.0,135,1,1
Net,280_sigmuid,0.12763337349056353,0.12763337349056353,3.0,444,0.2,0.12763337349056353,60.0,60.0,0.6,60.0,135,1,1
Net,300_sigmuid,0.2561225912404727,0.2561225912404727,1.0,444,0.2,0.2561225912404727,20.0,20.0,0.2,20.0,135,1,1
Net,320_sigmuid,0.019777841288869627,0.019777841288869627,3.0,444,0.2,0.019777841288869627,60.0,60.0,0.6,60.0,135,1,1
Net,340_sigmuid,0.19727979838426238,0.19727979838426238,1.0,444,0.2,0.19727979838426238,20.0,20.0,0.2,20.0,135,1,1
Net,360_sigmuid,0.0836355660294571,0.0836355660294571,3.0,444,0.2,0.0836355660294571,60.0,60.0,0.6,60.0,135,1,1
Net,380_sigmuid,0.11527113659892711,0.11527113659892711,3.0,444,0.2,0.11527113659892711,60.0,60.0,0.6,60.0,135,1,1
Net,400_sigmuid,0.0517383929534766,0.0517383929534766,4.0,444,0.2,0.051738392953476604,80.0,80.0,0.8,80.0,135,1,1
Net,420_sigmuid,0.1662567107809833,0.1662567107809833,2.0,444,0.2,0.1662567107809833,40.0,40.0,0.4,40.0,135,1,1
Net,440_sigmuid,0.17187103281006322,0.17187103281006322,3.0,444,0.2,0.17187103281006322,60.0,60.0,0.6,60.0,135,1,1
Net,460_sigmuid,0.07745322837194894,0.07745322837194894,3.0,444,0.2,0.07745322837194894,60.0,60.0,0.6,60.0,135,1,1
Net,480_sigmuid,0.08066820835121132,0.08066820835121132,3.0,444,0.2,0.08066820835121132,60.0,60.0,0.6,60.0,135,1,1
Net,500_sigmuid,0.14383470578372123,0.14383470578372123,3.0,444,0.2,0.14383470578372123,60.0,60.0,0.6,60.0,135,1,1
Net,520_sigmuid,0.1776429797586686,0.1776429797586686,1.0,444,0.2,0.17764297975866858,20.0,20.0,0.2,20.0,135,1,1
Net,540_sigmuid,0.09542437977073102,0.09542437977073102,3.0,444,0.2,0.09542437977073101,60.0,60.0,0.6,60.0,135,1,1
Net,560_sigmuid,0.18877276707201823,0.18877276707201823,1.0,444,0.2,0.18877276707201826,20.0,20.0,0.2,20.0,135,1,1
Net,580_sigmuid,0.19079439774054055,0.19079439774054055,3.0,444,0.2,0.19079439774054055,60.0,60.0,0.6,60.0,135,1,1
Net,600_sigmuid,0.14182325476335808,0.14182325476335808,4.0,444,0.2,0.14182325476335808,80.0,80.0,0.8,80.0,135,1,1
Net,20_sigmuid,0.054314555062122516,0.054314555062122516,1.0,566,0.2,0.054314555062122516,20.0,20.0,0.2,20.0,70,1,3
