bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,ae908eff77f78a2b39d540401cf03be788eb994c,c361ae52d6fe8eb350bd6328de0e718077f7d889,TEMP-1,https://issues.apache.org/jira/browse
2,d803cfa328718ba0d6c101a16482efd800e8b29b,c1e78bf431e4284a7edf71e68c26afb7696332db,TEMP-1,https://issues.apache.org/jira/browse
3,0846daefb06349dfdb16ebb25eceb175f9db79fc,1e32f35c5a1064fbf638e18032f62c8aae4a5b4a,TEMP-704,https://issues.apache.org/jira/browse
4,e36a49cc99469561e133f93e22a1c7fbb9a2dc65,bef99b1996389554916f6d727152b8d98ce837d4,TEMP-1,https://issues.apache.org/jira/browse
5,45eba96562b341c16ed177ae722b9b6665df04aa,719771affb6a01756e21c620b26b886859c119ae,TEMP-17,https://issues.apache.org/jira/browse
6,24513fe23de66965c2a2bed104c1adc94966a228,73fc46aeb65680e5d76d7702e0d1583bb0eabb57,TEMP-200,https://issues.apache.org/jira/browse
7,ed72d3758fc8943863ee00015d8f07c02ebe8120,a8ad47a5db38ef21b07058dcdecc66c3c341ca4b,TEMP-100,https://issues.apache.org/jira/browse
8,c16df1bfca3a5ed7586bb0e6125d66fe5dababa9,ed72d3758fc8943863ee00015d8f07c02ebe8120,TEMP-200,https://issues.apache.org/jira/browse
9,3cd5d382f8344e1e8e556ddbea476b82015dd01b,99af5c3b0af212c56f696005574a9d28edfa1046,TEMP-8,https://issues.apache.org/jira/browse
10,af601307416c636b6016b2b3dd8f30ad09a0fc82,bdfbd0cc7294d9d7d494f4148722f5c5dce43eaa,TEMP-8,https://issues.apache.org/jira/browse
11,00c931ba3f6a7af28fcace1c73dd320e6169a45f,997ec156d5f135220151bf2d33643966526e41b5,TEMP-72,https://issues.apache.org/jira/browse
12,3cc36ac6af73e9bc0be8446285458c21dc52b06e,6be7a84f85894d59d85b149a1c06af91aabc0e33,TEMP-691,https://issues.apache.org/jira/browse
13,958f53b70ee460a18f972de4452b50aaafae59eb,63614fbb06c2b86cd3287403f9e9d8b1ca5bb480,TEMP-690,https://issues.apache.org/jira/browse
14,bcfb12594d1f9e7c2d784210a1e77bc402d5894f,7827f0549526920b91aa2e62d2a1e7682c36e1e7,TEMP-689,https://issues.apache.org/jira/browse
15,e2715a012ab91a844d28b0963e2f8b322c225ab9,e4d503acf68e9cff10e3c8b51d3c16b4c8a11692,TEMP-11,https://issues.apache.org/jira/browse
16,bc5fb9e2081455bc038c540ccde7ff7b31d1ece0,089220322e79ed4a1f1bbc9291e8633d24282ae0,TEMP-7,https://issues.apache.org/jira/browse
17,e66319400804b9dde52750d6cc5a2f873af9eac9,2e2897dcb82308019bdd40be3b5eede7918a572d,TEMP-59,https://issues.apache.org/jira/browse
18,989423bb1bda85dc335c7b7c62401d8f1b8cb51a,f434fbf8496817d88196f83644dd13add05a2603,TEMP-685,https://issues.apache.org/jira/browse
19,7f19ea792908c25ce46fcf9f841a2def1eb9eaec,57af03c8cbece020780889f13b760d518ff1d0b5,TEMP-675,https://issues.apache.org/jira/browse
20,08321f04c2714682cff6b2948177231170f98754,33d23d6b6a3201cc3ffe2eb16a0e8a1a4a4b4c8a,TEMP-673,https://issues.apache.org/jira/browse
21,17f698947d270762f65aafaf2891db95c3819fe7,39f8fa7a1e8386edc05d924932733ea2f9b5fc6a,TEMP-646,https://issues.apache.org/jira/browse
22,fb7aae4c64f7d2bf6dced00c49c3ffc428b2d572,3c01bfaa968514749d54218f910563ac19d970cf,TEMP-663,https://issues.apache.org/jira/browse
23,51bf45a89751196f24c72878d568c50c307e6cc8,fb7aae4c64f7d2bf6dced00c49c3ffc428b2d572,TEMP-614,https://issues.apache.org/jira/browse
24,c4dd9fda6e4a9be7a532b287ae33b75bd749a4da,a4ae7b2374bfab3729937f8e293f3621d3b07654,TEMP-614,https://issues.apache.org/jira/browse
25,f6c513acaf04dbf3acc69f96053897b0c90dc746,98d829eb6af5449ac27b66382952de37602ebe4e,TEMP-643,https://issues.apache.org/jira/browse
26,f38341cab4a20f7f690072f24d648cea8e0f5784,2d935482d9b026ccd2cb2b55fcb05380a4466500,TEMP-641,https://issues.apache.org/jira/browse
27,24dd750b5bb142d26d3c74f1d884533f66006346,e08fbb9e9adffc54c5ad87ddfd57b590e65ef862,TEMP-639,https://issues.apache.org/jira/browse
28,efedd6dcb9b01a2bb2146de664dd312c31e6c22a,7fabd00432b9974240f1df75e1e7fa63ba276589,TEMP-636,https://issues.apache.org/jira/browse
29,dfd5f19d42454efe3f9ab3f290ab219c96659eee,de2bea7643c2a1324a90c9e6931ee37a1d9e0f4c,TEMP-1,https://issues.apache.org/jira/browse
30,e6ba4903c70f15a22637d21a49fe49baa8370dc1,cf9cc619ffdc632b9fca6add307da0243d34bc20,TEMP-1,https://issues.apache.org/jira/browse
31,5c76214e780ded02c42788f7031c36864352dd62,e6ba4903c70f15a22637d21a49fe49baa8370dc1,TEMP-1,https://issues.apache.org/jira/browse
32,5cf11219eed630818a4ec33da3aa78486e02ee5b,ab485239c60e9fbfc138071bf3f5b426a9fe7c77,TEMP-11,https://issues.apache.org/jira/browse
33,1acb3d3f5f8230e4329be95644c9f433b75bf0cb,d8f9af13ba04b2b483f6d441d1c4071174726988,TEMP-631,https://issues.apache.org/jira/browse
34,e4c5b3536ee6df12f621583a2bcf5da9f576015f,1c95a2a5d9e40d1b7d8b4626890ff1babc4f8862,TEMP-584,https://issues.apache.org/jira/browse
35,e759649cdd49383c850d9d38eba21d0aab4df930,e4c5b3536ee6df12f621583a2bcf5da9f576015f,TEMP-584,https://issues.apache.org/jira/browse
36,d651fb37e5a3ebc1f0a4241fe569d13f6e460bae,43a4141d3eab58255bd74a0e433fe54fbeee5ec4,TEMP-584,https://issues.apache.org/jira/browse
37,ac37d8d64c3f5aeb0032f420ea976712947f2cc6,3a7c1a0ec0ef23e318e465fc5cafeebf544f10be,TEMP-624,https://issues.apache.org/jira/browse
38,76036954547d0ead559f4e7b258019b3355d05a4,ac37d8d64c3f5aeb0032f420ea976712947f2cc6,TEMP-584,https://issues.apache.org/jira/browse
39,ba2886c990242c32e75d94a9d4c7ec9aa2571f10,76036954547d0ead559f4e7b258019b3355d05a4,TEMP-624,https://issues.apache.org/jira/browse
40,9a8268b53dc2d9bec4c227c454b815d68fae0f11,4eb186605d1e9393b38e479faa8f0aad79a3ef8a,TEMP-2,https://issues.apache.org/jira/browse
41,d969913836215396e8f586ffe6e0151c47d057c5,9a8268b53dc2d9bec4c227c454b815d68fae0f11,TEMP-2,https://issues.apache.org/jira/browse
42,a76bed1f8338e0bffb78b3b5a918aede47135520,c296d280f5c66277a7f0b6fcd0843eb7ad061858,TEMP-618,https://issues.apache.org/jira/browse
43,4a62504cbd24ad342769ef538e31e91f311f72dd,b785836d28f31bee038d45e33374c4ec5e15b435,TEMP-613,https://issues.apache.org/jira/browse
44,f6b86b380606073a2847b8926d893be047903995,4564a17fb24a851771f83a614d0bde5bae05bcfa,TEMP-414,https://issues.apache.org/jira/browse
45,9cf95344c06ae96954cacee357694253d12559a7,f6b86b380606073a2847b8926d893be047903995,TEMP-477,https://issues.apache.org/jira/browse
46,6697e685dd8d3bb7a41c65a013276e79910203f5,796a288e0c2e17ddf7dc44a4cd790a7eab4e158d,TEMP-596,https://issues.apache.org/jira/browse
47,34074f97a0a0572518c8736a30f017563cd7e9b3,6697e685dd8d3bb7a41c65a013276e79910203f5,TEMP-602,https://issues.apache.org/jira/browse
48,d5c724671fd72d49ec416e7fd086220ef7c8f4e2,ddaa71735ac8c1e7875d4b7bfe30c92921389982,TEMP-588,https://issues.apache.org/jira/browse
49,c038c0c1c317861366eae15f3b3dc70d9e927992,d5c724671fd72d49ec416e7fd086220ef7c8f4e2,TEMP-610,https://issues.apache.org/jira/browse
50,6f254e5e71609487a6dc99b2858252569039abd4,c038c0c1c317861366eae15f3b3dc70d9e927992,TEMP-611,https://issues.apache.org/jira/browse
51,2b0f3383fd8f54de72157ee878b4c92f26a0e60a,cd299336abb873f53664063e0a977650f22fe8f3,TEMP-609,https://issues.apache.org/jira/browse
52,8138f8c25af368ba6b31e6c0885265cf0783d6d8,bec3eaa55584966aeab7ad00cb16b07656b82553,TEMP-597,https://issues.apache.org/jira/browse
53,acf58cffc617b2328c70acaf22026cfaadfcb592,19af5379fa93633e2c7bc0326fc5f3b28aaf192f,TEMP-593,https://issues.apache.org/jira/browse
54,96e16497119db404a4e59709e022d4f9564d23e6,acf58cffc617b2328c70acaf22026cfaadfcb592,TEMP-594,https://issues.apache.org/jira/browse
55,328c4046d88629d1d7d484e88cb4293541bc1141,96e16497119db404a4e59709e022d4f9564d23e6,TEMP-592,https://issues.apache.org/jira/browse
56,6fe206372bd3c1c852fbf3053fd4cb4dc71790b4,02ae1898a1bc9eb7fe541072b6bd1ac0dbf6a915,TEMP-583,https://issues.apache.org/jira/browse
57,36259f7c1c9491b70687a7961dc865498b269d23,c34b95d8ca27574c979acf99ee8fb81ab4227cc9,TEMP-29,https://issues.apache.org/jira/browse
58,f3eae24d5955de2a2b98b677718f29edbadd7b97,36259f7c1c9491b70687a7961dc865498b269d23,TEMP-29,https://issues.apache.org/jira/browse
59,77a30c218d8b1505a9ed450e62625321bdf000fb,e8d76ef9c72325b773b9141a8566ce1147c1ebc6,TEMP-581,https://issues.apache.org/jira/browse
60,83b950724307dc1551a7325961be1da89acbabf0,a19fae7262f9212ada7acde170ded85a12720705,TEMP-582,https://issues.apache.org/jira/browse
61,642158f72b2534e29b0db024e761118c67eae3eb,83b950724307dc1551a7325961be1da89acbabf0,TEMP-582,https://issues.apache.org/jira/browse
62,05111daef93db06cdccffbdeb475715413a01d67,0177f90032a1a68496ae1e566697c1608fc8cb95,TEMP-580,https://issues.apache.org/jira/browse
63,4ca6aa3f287b1765cc1532f5fadc01b145911a61,65302de24316b21a3955265203c60cf663067743,TEMP-579,https://issues.apache.org/jira/browse
64,f5304f2e0f67363505052b93fb6e979e6eeabda2,31044ba56dc378d68c04334b66344a718116821a,TEMP-558,https://issues.apache.org/jira/browse
65,ff519f3d36dc3b4751a06e47def7f7551cc121fe,12f145e46190bea7d100aae6ab45ea0e486be12c,TEMP-573,https://issues.apache.org/jira/browse
66,5df3f18bc8abf3a03bdd06443ead128eba2350e8,f6d1a4d9d0fa98e275bef1a65cd40374bfe751be,TEMP-538,https://issues.apache.org/jira/browse
67,724d534bd43360af1858d981710b614f01179a7d,cd2d049fac6301077e0e5f441edb55bd71930448,TEMP-8,https://issues.apache.org/jira/browse
68,00104e73df37ae873fd6a6b2b9e0b69bd940ec25,724d534bd43360af1858d981710b614f01179a7d,TEMP-8,https://issues.apache.org/jira/browse
69,1762d632b7c343fc524e1e6495babeaf2b9b8550,50a124bf76c36d47d797306ccadcb3d97c43caca,TEMP-566,https://issues.apache.org/jira/browse
70,ff1547720ec4b433091745b33d1393a19b46538f,f9a8a38405a6c0c269b21318d1e469a7c392be1f,TEMP-566,https://issues.apache.org/jira/browse
71,021922ee87667f568d17a94513169e17f3302742,9fb2ca62d1cd49e037d14fb35a00d75a6266a8ea,TEMP-552,https://issues.apache.org/jira/browse
72,fdf3d2c2a275f384fa6361f705f73bfdd0a29b88,17ecff749acf32ddeb8c8e9883491503b8d953a0,TEMP-563,https://issues.apache.org/jira/browse
73,e68628bb255ff74b33ae19a37e17058806d9592a,752a551c95abe091bd69a4c68c8f9d900e5e3b67,TEMP-561,https://issues.apache.org/jira/browse
74,d4e49ab13c6682ab8811d69546682c4098a4761d,e68628bb255ff74b33ae19a37e17058806d9592a,TEMP-544,https://issues.apache.org/jira/browse
75,a272cd9746694b2261e6a313d6b0cc3e1e6b3dc7,316dfd409563f1396521798aefab04ce7999f84f,TEMP-558,https://issues.apache.org/jira/browse
76,506d027199a615962ad5df482f077792841a01c1,5555226cf8d009ee9fdb9164a919e96d768c529e,TEMP-550,https://issues.apache.org/jira/browse
77,aee94d0b51becdc83ea4a74e86b242d0ca3d6f0a,506d027199a615962ad5df482f077792841a01c1,TEMP-551,https://issues.apache.org/jira/browse
78,c5192345305636887229eb7ae0829d621effc2b4,aee94d0b51becdc83ea4a74e86b242d0ca3d6f0a,TEMP-551,https://issues.apache.org/jira/browse
79,9eeb9c1507dd319eddb3ba9e21667d3101f1371b,72ea0f2be8d01e1559aff14889967c8ccbf1822f,TEMP-549,https://issues.apache.org/jira/browse
80,1d8d34dbb79a7ef96c5dbc126503cd55b22091ab,131a120d7e3fc8cedf6552f9e5fdb4ff933a7386,TEMP-543,https://issues.apache.org/jira/browse
81,061d70dd783a9150601fc884cc93831d39efd751,b26a3b41b047cdcc37aa65625075fa621d13f66e,TEMP-539,https://issues.apache.org/jira/browse
82,727f55cccfe0310487271a148f185e41f3775c8e,061d70dd783a9150601fc884cc93831d39efd751,TEMP-8,https://issues.apache.org/jira/browse
