project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Cli,20_sigmuid,0.164084183,0.164084183,1,193,0.2,0.164084183,25,25,0.25,25,32,1,1,ranked 12,ranked 1
Cli,40_sigmuid,0.254621262,0.254621262,1,193,0.2,0.254621262,25,25,0.25,25,32,1,1,ranked 5,ranked 2
Cli,60_sigmuid,0.195067011,0.195067011,1,193,0.2,0.195067011,25,25,0.25,25,32,1,1,ranked 2,ranked 9
Cli,80_sigmuid,0.469275812,0.469275812,0,193,0.2,0.469275812,0,0,0,0,32,1,1,ranked 1,ranked 6
Cli,100_sigmuid,0.41586726,0.41586726,0,193,0.2,0.41586726,0,0,0,0,32,1,1,ranked 7,ranked 4
Cli,120_sigmuid,0.262989294,0.262989294,1,193,0.2,0.262989294,25,25,0.25,25,32,1,1,ranked 26,ranked 3
Cli,140_sigmuid,0.33090555,0.33090555,1,193,0.2,0.33090555,25,25,0.25,25,32,1,1,ranked 27,ranked 20
Cli,160_sigmuid,0.524669154,0.524669154,0,193,0.2,0.524669154,0,0,0,0,32,1,1,ranked 21,ranked 7
Cli,180_sigmuid,0.452806421,0.452806421,0,193,0.2,0.452806421,0,0,0,0,32,1,1,ranked 9,ranked 14
Cli,200_sigmuid,0.440300091,0.440300091,1,193,0.2,0.440300091,25,25,0.25,25,32,1,1,ranked 13,ranked 5
Cli,220_sigmuid,0.341514755,0.341514755,0,193,0.2,0.341514755,0,0,0,0,32,1,1,ranked 30,ranked 8
Cli,240_sigmuid,0.300521593,0.300521593,1,193,0.2,0.300521593,25,25,0.25,25,32,1,1,ranked 24,ranked 11
Cli,260_sigmuid,0.195658567,0.195658567,1,193,0.2,0.195658567,25,25,0.25,25,32,1,1,ranked 23,ranked 10
Cli,280_sigmuid,0.454628785,0.454628785,0,193,0.2,0.454628785,0,0,0,0,32,1,1,ranked 14,ranked 23
Cli,300_sigmuid,0.394785549,0.394785549,1,193,0.2,0.394785549,25,25,0.25,25,32,1,1,ranked 15,ranked 15
Cli,320_sigmuid,0.310867936,0.310867936,1,193,0.2,0.310867936,25,25,0.25,25,32,1,1,ranked 8,ranked 19
Cli,340_sigmuid,0.222000487,0.222000487,1,193,0.2,0.222000487,25,25,0.25,25,32,1,1,ranked 10,ranked 29
Cli,360_sigmuid,0.509021342,0.509021342,0,193,0.2,0.509021342,0,0,0,0,32,1,1,ranked 25,ranked 18
Cli,380_sigmuid,0.273851374,0.273851374,1,193,0.2,0.273851374,25,25,0.25,25,32,1,1,ranked 17,ranked 24
Cli,400_sigmuid,0.574059282,0.574059282,0,193,0.2,0.574059282,0,0,0,0,32,1,1,ranked 11,ranked 22
Cli,420_sigmuid,0.336409181,0.336409181,1,193,0.2,0.336409181,25,25,0.25,25,32,1,1,ranked 18,ranked 21
Cli,440_sigmuid,0.52202596,0.52202596,0,193,0.2,0.52202596,0,0,0,0,32,1,1,ranked 22,ranked 17
Cli,460_sigmuid,0.332255685,0.332255685,1,193,0.2,0.332255685,25,25,0.25,25,32,1,1,ranked 20,ranked 13
