method,project,MAP,MRR,TOP-K,average similarity,,,,,,,,,,,,,,,,
20_Topics,Cli,0.112876782,0.372979947,0.150001338,0.629201923,,,,,,,,,,,,,,,,
40_Topics,Cli,0.101250449,0.340773401,0.217438726,0.42024359,,,,,,,,,,,,,,,,
60_Topics,Cli,0.110209329,0.317014715,0.171897736,0.364550748,,,,,,,,,,,,,,,,
80_Topics,Cli,0.096141482,0.280562953,0.213817258,0.380889957,,,,,,,,,,,,,,,,
100_Topics,Cli,0.109370787,0.348332427,0.224315077,0.393017628,,,,,,,,,,,,,,,,
120_Topics,Cli,0.13807791,0.470802939,0.181274698,0.396843483,,,,,,,,,,,,,,,,
140_Topics,Cli,0.149247484,0.474358912,0.232838275,0.290118056,,,,,,,,,,,,,,,,
160_Topics,Cli,0.136605653,0.435399356,0.212196386,0.375367521,,,,,,,,,,,,,,,,
180_Topics,Cli,0.10910692,0.355128736,0.212423067,0.308093483,,,,,,,,,,,,,,,,
200_Topics,Cli,0.123253789,0.375304719,0.23413142,0.392766026,,,,,,,,,,,,,,,,
220_Topics,Cli,0.166592773,0.534390422,0.202870942,0.368405449,,,,,,,,,,,,,,,,
240_Topics,Cli,0.138565898,0.45820613,0.190207701,0.353836538,,,,,,,,,,,,,,,,
260_Topics,Cli,0.143605211,0.453663719,0.218016743,0.359332799,,,,,,,,,,,,,,,,
280_Topics,Cli,0.119262161,0.377337865,0.259831574,0.274202457,,,,,,,,,,,,,,,,
300_Topics,Cli,0.11784372,0.384350265,0.256321139,0.300392094,,,,,,,,,,,,,,,,
320_Topics,Cli,0.116433139,0.349127481,0.236281502,0.291448718,,,,,,,,,,,,,,,,
340_Topics,Cli,0.107912017,0.355172792,0.259326063,0.222845085,,,,,,,,,,,,,,,,
360_Topics,Cli,0.146656941,0.463805907,0.22060322,0.295604167,,,,,,,,,,,,,,,,
380_Topics,Cli,0.13278551,0.410388977,0.237326188,0.271798077,,,,,,,,,,,,,,,,
400_Topics,Cli,0.113437784,0.371080463,0.215123687,0.279975427,,,,,,,,,,,,,,,,
420_Topics,Cli,0.136626712,0.41734734,0.200921318,0.289559295,,,,,,,,,,,,,,,,
440_Topics,Cli,0.147220682,0.444986285,0.239040534,0.297453526,,,,,,,,,,,,,,,,
460_Topics,Cli,0.13398939,0.423680791,0.216555637,0.311775641,,,,,,,,,,,,,,,,
480_Topics,Cli,0.100525512,0.329133726,0.231664914,0.250764423,,,,,,,,,,,,,,,,
500_Topics,Cli,0.101966621,0.330982929,0.29375077,0.232718483,,,,,,,,,,,,,,,,
520_Topics,Cli,0.131107658,0.418479736,0.250828713,0.314798611,,,,,,,,,,,,,,,,
540_Topics,Cli,0.109328191,0.345452111,0.234694737,0.209494658,,,,,,,,,,,,,,,,
560_Topics,Cli,0.152618683,0.490489454,0.183050714,0.25848985,,,,,,,,,,,,,,,,
580_Topics,Cli,0.126509019,0.403410106,0.233552672,0.256724893,,,,,,,,,,,,,,,,
600_Topics,Cli,0.155772791,0.509540039,0.231803659,0.299513355,,,,,,,,,,,,,,,,
20_Topics,Codec,0.099750524,0.303112717,0.381895612,0.504757224,,,,,,,,,,,,,,,,
40_Topics,Codec,0.113484355,0.331537573,0.354840482,0.426483934,,,,,,,,,,,,,,,,
