project,method,method topics,method topics values,metric,metric regular topics,regular topics values,Kendall Tau value,RBO,diff between first method and regular first,diff between first method and regular second,diff between first method and regular third,diff between second method and regular first,diff between third method and regular first,diff between forth method and regular first,diff between fifth method and regular first
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[0.107, 0.06, 0.069, 0.076, 0.095, 0.116, 0.113, 0.083, 0.107, 0.061, 0.132, 0.059, 0.108, 0.104, 0.1, 0.097, 0.074, 0.107, 0.079, 0.102, 0.1, 0.111, 0.08, 0.105, 0.117, 0.102, 0.069, 0.058, 0.061, 0.091]",precision,"['400', '360', '540', '100', '440', '200', '420', '80', '180', '240', '280', '460', '120', '300', '160', '580', '40', '220', '320', '260', '520', '500', '380', '480', '140', '600', '340', '60', '20', '560']","[0.132, 0.117, 0.116, 0.113, 0.111, 0.108, 0.107, 0.107, 0.107, 0.105, 0.104, 0.102, 0.102, 0.1, 0.1, 0.097, 0.095, 0.091, 0.083, 0.08, 0.079, 0.076, 0.074, 0.069, 0.069, 0.061, 0.061, 0.06, 0.059, 0.058]",-0.07586206896551725,0.30532938579741026,0.02500000000000001,0.010000000000000009,0.009000000000000008,0.07200000000000001,0.063,0.05600000000000001,0.037000000000000005
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[0.089, 0.048, 0.058, 0.058, 0.07, 0.092, 0.087, 0.065, 0.087, 0.045, 0.105, 0.048, 0.093, 0.089, 0.084, 0.068, 0.061, 0.081, 0.064, 0.082, 0.088, 0.096, 0.054, 0.083, 0.103, 0.068, 0.058, 0.043, 0.045, 0.075]",recall,"['400', '360', '440', '200', '540', '280', '80', '160', '180', '100', '300', '240', '460', '420', '220', '40', '120', '580', '320', '520', '380', '140', '500', '480', '260', '60', '20', '600', '340', '560']","[0.105, 0.103, 0.096, 0.093, 0.092, 0.089, 0.089, 0.088, 0.087, 0.087, 0.084, 0.083, 0.082, 0.081, 0.075, 0.07, 0.068, 0.068, 0.065, 0.064, 0.061, 0.058, 0.058, 0.058, 0.054, 0.048, 0.048, 0.045, 0.045, 0.043]",-0.03448275862068966,0.2944500195706263,0.016,0.013999999999999999,0.007000000000000006,0.056999999999999995,0.04699999999999999,0.04699999999999999,0.03499999999999999
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[4.0, 4.286, 4.429, 4.571, 3.571, 4.0, 3.714, 4.429, 4.143, 4.429, 4.429, 3.714, 4.429, 3.857, 4.0, 3.714, 3.214, 4.0, 4.143, 3.571, 4.286, 4.0, 4.429, 4.143, 3.571, 4.0, 4.143, 4.714, 4.571, 4.429]",wasted,"['380', '40', '360', '460', '20', '580', '100', '280', '80', '120', '300', '420', '440', '540', '140', '180', '240', '520', '60', '160', '200', '220', '260', '320', '340', '400', '480', '500', '600', '560']","[3.214, 3.571, 3.571, 3.571, 3.714, 3.714, 3.714, 3.857, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.143, 4.143, 4.143, 4.143, 4.286, 4.286, 4.429, 4.429, 4.429, 4.429, 4.429, 4.429, 4.429, 4.571, 4.571, 4.714]",0.0942528735632184,0.28914497191290883,-0.786,-0.4289999999999998,-0.4289999999999998,-1.0719999999999996,-1.2150000000000003,-1.3569999999999998,-0.3570000000000002
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[0.094, 0.052, 0.06, 0.063, 0.077, 0.099, 0.094, 0.07, 0.093, 0.049, 0.113, 0.052, 0.097, 0.093, 0.089, 0.076, 0.064, 0.089, 0.068, 0.087, 0.091, 0.1, 0.062, 0.09, 0.107, 0.078, 0.061, 0.047, 0.049, 0.079]",f-score,"['400', '360', '440', '540', '200', '100', '80', '280', '180', '160', '240', '300', '420', '460', '220', '120', '40', '580', '320', '520', '380', '500', '260', '140', '480', '60', '20', '600', '340', '560']","[0.113, 0.107, 0.1, 0.099, 0.097, 0.094, 0.094, 0.093, 0.093, 0.091, 0.09, 0.089, 0.089, 0.087, 0.079, 0.078, 0.077, 0.076, 0.07, 0.068, 0.064, 0.063, 0.062, 0.061, 0.06, 0.052, 0.052, 0.049, 0.049, 0.047]",-0.0022988505747126436,0.31244241483407487,0.019000000000000003,0.012999999999999998,0.006000000000000005,0.061000000000000006,0.053000000000000005,0.05,0.036000000000000004
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[50.952, 72.143, 74.524, 68.81, 40.714, 52.619, 45.714, 56.429, 63.81, 63.095, 52.381, 60.714, 67.653, 60.952, 52.551, 54.524, 49.082, 43.095, 54.524, 48.81, 61.224, 55.51, 64.524, 48.333, 34.694, 63.095, 60.238, 76.224, 65.952, 51.837]",expense,"['360', '40', '420', '100', '240', '460', '380', '80', '220', '400', '300', '540', '520', '580', '440', '320', '140', '20', '280', '160', '340', '120', '180', '260', '600', '200', '500', '60', '480', '560']","[34.694, 40.714, 43.095, 45.714, 48.333, 48.81, 49.082, 50.952, 51.837, 52.381, 52.551, 52.619, 54.524, 54.524, 55.51, 56.429, 60.238, 60.714, 60.952, 61.224, 63.095, 63.095, 63.81, 64.524, 65.952, 67.653, 68.81, 72.143, 74.524, 76.224]",-0.043678160919540236,0.2963213836190425,-16.257999999999996,-10.238,-7.856999999999999,-37.449,-39.83,-34.116,-6.019999999999996
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[50.952, 72.143, 74.524, 68.81, 40.714, 52.619, 45.714, 56.429, 63.81, 63.095, 52.381, 60.714, 67.653, 60.952, 52.551, 54.524, 49.082, 43.095, 54.524, 48.81, 61.224, 55.51, 64.524, 48.333, 34.694, 63.095, 60.238, 76.224, 65.952, 51.837]",t-score,"['360', '40', '420', '100', '240', '460', '380', '80', '220', '400', '300', '540', '520', '580', '440', '320', '140', '20', '280', '160', '340', '120', '180', '260', '600', '200', '500', '60', '480', '560']","[34.694, 40.714, 43.095, 45.714, 48.333, 48.81, 49.082, 50.952, 51.837, 52.381, 52.551, 52.619, 54.524, 54.524, 55.51, 56.429, 60.238, 60.714, 60.952, 61.224, 63.095, 63.095, 63.81, 64.524, 65.952, 67.653, 68.81, 72.143, 74.524, 76.224]",-0.043678160919540236,0.2963213836190425,-16.257999999999996,-10.238,-7.856999999999999,-37.449,-39.83,-34.116,-6.019999999999996
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[0.51, 0.721, 0.745, 0.688, 0.407, 0.526, 0.457, 0.564, 0.638, 0.631, 0.524, 0.607, 0.677, 0.61, 0.526, 0.545, 0.491, 0.431, 0.545, 0.488, 0.612, 0.555, 0.645, 0.483, 0.347, 0.631, 0.602, 0.762, 0.66, 0.518]",cost,"['360', '40', '420', '100', '240', '460', '380', '80', '220', '400', '300', '540', '520', '580', '440', '320', '140', '20', '280', '160', '120', '340', '180', '260', '600', '200', '500', '60', '480', '560']","[0.347, 0.407, 0.431, 0.457, 0.483, 0.488, 0.491, 0.51, 0.518, 0.524, 0.526, 0.526, 0.545, 0.545, 0.555, 0.564, 0.602, 0.607, 0.61, 0.612, 0.631, 0.631, 0.638, 0.645, 0.66, 0.677, 0.688, 0.721, 0.745, 0.762]",0.02528735632183908,0.2957424471686112,-0.16300000000000003,-0.10300000000000004,-0.07900000000000001,-0.374,-0.398,-0.34099999999999997,-0.06
Cli,MRR,"['80', '60', '480', '500', '40', '540', '100', '320', '180', '340', '400', '20', '200', '280', '300', '580', '380', '420', '520', '460', '160', '440', '260', '240', '360', '120', '140', '560', '600', '220']","[50.952, 72.143, 74.524, 68.81, 40.714, 52.619, 45.714, 56.429, 63.81, 63.095, 52.381, 60.714, 67.653, 60.952, 52.551, 51.667, 44.796, 43.095, 54.524, 48.81, 61.224, 55.51, 64.524, 48.333, 34.694, 57.381, 60.238, 76.224, 65.952, 51.837]",exam-score,"['360', '40', '420', '380', '100', '240', '460', '80', '580', '220', '400', '300', '540', '520', '440', '320', '120', '140', '20', '280', '160', '340', '180', '260', '600', '200', '500', '60', '480', '560']","[34.694, 40.714, 43.095, 44.796, 45.714, 48.333, 48.81, 50.952, 51.667, 51.837, 52.381, 52.551, 52.619, 54.524, 55.51, 56.429, 57.381, 60.238, 60.714, 60.952, 61.224, 63.095, 63.81, 64.524, 65.952, 67.653, 68.81, 72.143, 74.524, 76.224]",-0.03908045977011494,0.2914108770087143,-16.257999999999996,-10.238,-7.856999999999999,-37.449,-39.83,-34.116,-6.019999999999996
Cli,average similarity,"['20', '40', '120', '100', '200', '80', '160', '220', '60', '260', '240', '520', '460', '180', '300', '600', '440', '360', '320', '140', '420', '400', '280', '380', '560', '580', '480', '500', '340', '540']","[0.059, 0.095, 0.102, 0.113, 0.108, 0.107, 0.1, 0.091, 0.06, 0.08, 0.105, 0.079, 0.102, 0.107, 0.1, 0.061, 0.111, 0.117, 0.083, 0.069, 0.107, 0.132, 0.104, 0.074, 0.058, 0.097, 0.069, 0.076, 0.061, 0.116]",precision,"['400', '360', '540', '100', '440', '200', '420', '80', '180', '240', '280', '460', '120', '300', '160', '580', '40', '220', '320', '260', '520', '500', '380', '480', '140', '600', '340', '60', '20', '560']","[0.132, 0.117, 0.116, 0.113, 0.111, 0.108, 0.107, 0.107, 0.107, 0.105, 0.104, 0.102, 0.102, 0.1, 0.1, 0.097, 0.095, 0.091, 0.083, 0.08, 0.079, 0.076, 0.074, 0.069, 0.069, 0.061, 0.061, 0.06, 0.059, 0.058]",0.0942528735632184,0.3402023441670231,0.07300000000000001,0.05800000000000001,0.05700000000000001,0.037000000000000005,0.030000000000000013,0.019000000000000003,0.024000000000000007
Cli,average similarity,"['20', '40', '120', '100', '200', '80', '160', '220', '60', '260', '240', '520', '460', '180', '300', '600', '440', '360', '320', '140', '420', '400', '280', '380', '560', '580', '480', '500', '340', '540']","[0.048, 0.07, 0.068, 0.087, 0.093, 0.089, 0.088, 0.075, 0.048, 0.054, 0.083, 0.064, 0.082, 0.087, 0.084, 0.045, 0.096, 0.103, 0.065, 0.058, 0.081, 0.105, 0.089, 0.061, 0.043, 0.068, 0.058, 0.058, 0.045, 0.092]",recall,"['400', '360', '440', '200', '540', '280', '80', '160', '180', '100', '300', '240', '460', '420', '220', '40', '120', '580', '320', '520', '380', '140', '500', '480', '260', '60', '20', '600', '340', '560']","[0.105, 0.103, 0.096, 0.093, 0.092, 0.089, 0.089, 0.088, 0.087, 0.087, 0.084, 0.083, 0.082, 0.081, 0.075, 0.07, 0.068, 0.068, 0.065, 0.064, 0.061, 0.058, 0.058, 0.058, 0.054, 0.048, 0.048, 0.045, 0.045, 0.043]",-0.0574712643678161,0.32087000932011295,0.056999999999999995,0.05499999999999999,0.048,0.03499999999999999,0.03699999999999999,0.018000000000000002,0.011999999999999997
